100
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
52,222;3687;2052;344;6246;2584;74;3433;1755;1365;621;4117;3088;168;6134;1533,daytime:morning,7229;100,1680;99,6210;98,853;97,2675;96,301;95,2944;94,1120;93,2339;92,765;91,2752;90,4428;89,3116;88,1516;87,2058;86,6297;85,2261;84,6725;83,1552;82,7254;81,7124;80,1886;79,1675;78,4292;77,1619;76,2532;75,645;74,3771;73,6680;72,5462;71,3013;70,6526;69,7301;68,6944;67,6852;66,7218;65,6871;64,1342;63,1938;62,1787;61,1857;60,1324;59,7127;58,7198;57,1351;56,7182;55,3067;54,4368;53,3064;52,433;51,3213;50,3047;49,4786;48,6672;47,3292;46,6152;45,3563;44,7149;43,6828;42,7239;41,7288;40,1651;39,7192;38,6295;37,5260;36,1009;35,685;34,3093;33,7213;32,7251;31,7262;30,7084;29,2294;28,7201;27,7067;26,1746;25,6886;24,7205;23,4079;22,391;21,7293;20,5937;19,4747;18,6657;17,7040;16,7189;15,5348;14,6108;13,7263;12,6856;11,11;10,2653;9,2131;8,7020;7,1819;6,462;5,6802;4,2122;3,5716;2,1130;1
127,2958;2772;7040;7195,daytime:night,74;100,2206;99,2532;98,4509;97,730;96,5594;95,6469;94,5803;93,6410;92,5841;91,5167;90,3293;89,3544;88,6020;87,3268;86,876;85,4899;84,800;83,1047;82,6439;81,5032;80,5987;79,7103;78,3729;77,5566;76,2814;75,5585;74,6846;73,3829;72,1873;71,4670;70,3746;69,2986;68,1703;67,2036;66,6886;65,4361;64,3906;63,1262;62,1692;61,3013;60,7251;59,3250;58,7262;57,355;56,5141;55,5132;54,3187;53,245;52,1720;51,2415;50,6337;49,1295;48,7222;47,2498;46,4862;45,401;44,3976;43,6097;42,198;41,1490;40,7088;39,4028;38,2750;37,4240;36,5988;35,323;34,3862;33,428;32,2203;31,1051;30,1529;29,2301;28,3215;27,1753;26,5501;25,6257;24,6338;23,2898;22,1798;21,2138;20,4777;19,4213;18,7127;17,2261;16,5119;15,3585;14,2242;13,2916;12,4299;11,4049;10,4803;9,5000;8,1984;7,6424;6,2824;5,5314;4,1675;3,3014;2,5618;1
128,1210;2665;3424;389;4249;3244;3630;4653;4660;2490;3774;4265;3852;2870;4378;5159;786;3955;347;1478;5541;2722;6526;4840;4425;2880;1403;1969;5746;670;748;2865;3091,daytime:evening,7229;100,1680;99,6210;98,853;97,2675;96,2339;95,301;94,1120;93,2944;92,765;91,2752;90,4428;89,3116;88,1516;87,2058;86,2261;85,1552;84,6297;83,1886;82,7124;81,6725;80,7254;79,4292;78,645;77,1675;76,2532;75,1619;74,3771;73,3013;72,6680;71,5462;70,6852;69,7218;68,6526;67,1324;66,7301;65,6944;64,1938;63,1342;62,1787;61,7127;60,1857;59,6871;58,3067;57,7198;56,7182;55,3064;54,1351;53,433;52,3047;51,3563;50,4786;49,4368;48,3213;47,7192;46,1651;45,6672;44,1009;43,3292;42,6295;41,6152;40,7251;39,7149;38,5260;37,685;36,7288;35,6828;34,3093;33,7201;32,7239;31,2294;30,7205;29,1746;28,7189;27,7067;26,7213;25,7262;24,4747;23,5937;22,7040;21,2131;20,7084;19,4079;18,5266;17,6886;16,6856;15,391;14,11;13,7020;12,7061;11,2653;10,1994;9,6657;8,307;7,5716;6,6108;5,6741;4,2629;3,7293;2,4099;1
42,1494;680;3498;565;1095;1122;2909;5978;762;5537;128;5283;4889;4836;1477;6182;3300;657;2495;7219;602;3054;500;6034;2379;173;761;1419;6177;660;2136;6531,daytime:afternoon,7229;100,1680;99,6210;98,853;97,2675;96,301;95,2339;94,1120;93,2944;92,765;91,2752;90,4428;89,3116;88,1516;87,2058;86,1552;85,2261;84,7124;83,1886;82,6297;81,6725;80,7254;79,4292;78,645;77,1675;76,2532;75,1619;74,3771;73,3013;72,6680;71,5462;70,6852;69,7218;68,6526;67,1324;66,7301;65,6944;64,1787;63,1342;62,1938;61,7127;60,6871;59,1857;58,3067;57,7198;56,7182;55,3064;54,1351;53,433;52,4786;51,3047;50,3563;49,4368;48,3213;47,7192;46,6672;45,1009;44,1651;43,6295;42,3292;41,7251;40,6152;39,7149;38,685;37,3093;36,5260;35,6828;34,7288;33,7201;32,2294;31,7239;30,7205;29,1746;28,7189;27,7213;26,7067;25,7262;24,4747;23,7040;22,4079;21,5937;20,7084;19,2131;18,5266;17,6886;16,6856;15,391;14,11;13,7061;12,7020;11,1994;10,2653;9,6657;8,7293;7,6741;6,7263;5,6108;4,307;3,2629;2,5716;1
298,1824;2246;5824;3046;3343;474;888;6944,daytime:afternoon,7229;100,853;99,6210;98,1680;97,765;96,2675;95,2752;94,2944;93,2261;92,1120;91,1516;90,2058;89,4292;88,3116;87,7124;86,2339;85,301;84,645;83,4428;82,6297;81,7254;80,1552;79,7182;78,3013;77,1886;76,6852;75,6680;74,1675;73,6725;72,1787;71,7149;70,6526;69,3067;68,1619;67,1324;66,5462;65,7218;64,7301;63,3771;62,2532;61,3064;60,1857;59,1351;58,1009;57,4786;56,7127;55,7198;54,6295;53,2294;52,1651;51,6672;50,3292;49,7251;48,3047;47,1938;46,3093;45,7192;44,6944;43,6871;42,816;41,7040;40,433;39,6808;38,1681;37,1994;36,3563;35,1746;34,6828;33,1342;32,685;31,6942;30,5260;29,11;28,6152;27,7061;26,7128;25,7293;24,7201;23,7262;22,6962;21,7255;20,5266;19,7257;18,2122;17,6886;16,744;15,1438;14,7189;13,2271;12,7020;11,6441;10,5833;9,800;8,4351;7,5348;6,1513;5,7288;4,2653;3,7172;2,4747;1
185,2685;3925;5402;6681;1006;3460;3336;765;1775;2073;5972;2853;3975;5363;22;851;5159,daytime:evening,7229;100,6210;99,1680;98,853;97,2675;96,301;95,2339;94,1120;93,2944;92,2752;91,765;90,4428;89,3116;88,1516;87,2058;86,1552;85,7124;84,6725;83,6297;82,1886;81,2261;80,7254;79,4292;78,1675;77,645;76,2532;75,1619;74,3771;73,6680;72,3013;71,5462;70,6852;69,6526;68,7218;67,7301;66,6944;65,1324;64,1787;63,1938;62,1342;61,6871;60,1857;59,7198;58,7127;57,7182;56,3067;55,3064;54,1351;53,6672;52,1009;51,433;50,4368;49,4786;48,3292;47,7149;46,3047;45,3213;44,7192;43,1651;42,3563;41,6295;40,3093;39,7251;38,685;37,6152;36,6828;35,7201;34,7239;33,7205;32,7288;31,7213;30,1746;29,5260;28,7067;27,7189;26,2294;25,7262;24,4747;23,4079;22,7040;21,5937;20,6886;19,6856;18,2131;17,7263;16,7061;15,7293;14,5266;13,6657;12,6108;11,11;10,2716;9,391;8,6441;7,6741;6,7255;5,1994;4,3383;3,5967;2,2629;1
185,953;1741;703;4398;6029;477;4743;2414;1816;6073;2864;919;2621;2990;2258;2185;4263;1148;5147;1770;2078,daytime:afternoon,7229;100,6210;99,1680;98,853;97,2675;96,301;95,2339;94,1120;93,2944;92,2752;91,765;90,4428;89,3116;88,1516;87,2058;86,1552;85,7124;84,6725;83,6297;82,1886;81,2261;80,7254;79,4292;78,1675;77,645;76,2532;75,1619;74,3771;73,6680;72,3013;71,5462;70,6852;69,6526;68,7218;67,7301;66,6944;65,1324;64,1787;63,1938;62,1342;61,6871;60,1857;59,7198;58,7127;57,7182;56,3067;55,3064;54,1351;53,6672;52,1009;51,433;50,4368;49,4786;48,3292;47,7149;46,3047;45,3213;44,7192;43,1651;42,3563;41,6295;40,3093;39,7251;38,685;37,6152;36,6828;35,7201;34,7239;33,7205;32,7288;31,7213;30,1746;29,5260;28,7067;27,7189;26,2294;25,7262;24,7084;23,4747;22,4079;21,7040;20,5937;19,6886;18,6856;17,2131;16,7263;15,7061;14,7293;13,5266;12,6657;11,6108;10,11;9,2716;8,391;7,6441;6,6741;5,7255;4,1994;3,3383;2,5967;1
316,1909;666;406;5482;1134;5319;4467;6302;1243;3517;508;596;6628;6697;4919;1315;1097;3624;2262;2888;429;982;1708;6545;5024;6794;459;5416;6855;4969;2154;1334;2524;3;6397;6911;3506;857;2058;1115;1021;4818;6347;4343;5819;5235;7035;7047;4933;2695;1533;1013,daytime:morning,7229;100,6210;99,1680;98,853;97,2675;96,301;95,1120;94,2339;93,765;92,2944;91,2752;90,3116;89,4428;88,1516;87,2058;86,7124;85,1552;84,6725;83,1886;82,2261;81,4292;80,6297;79,7254;78,645;77,1675;76,2532;75,3013;74,1619;73,3771;72,6680;71,6852;70,5462;69,7218;68,7301;67,6526;66,1324;65,1787;64,6944;63,1342;62,1938;61,6871;60,1857;59,3067;58,7127;57,7182;56,7198;55,3064;54,1351;53,433;52,4786;51,3047;50,7192;49,6672;48,6295;47,1009;46,7149;45,3292;44,3213;43,1651;42,7251;41,6152;40,685;39,4368;38,3093;37,2294;36,5260;35,7288;34,6828;33,7201;32,7213;31,7189;30,1746;29,7205;28,4079;27,7239;26,7262;25,7067;24,4747;23,7084;22,7040;21,6886;20,5266;19,7061;18,6856;17,5937;16,2131;15,7293;14,1994;13,2653;12,6741;11,391;10,7263;9,7255;8,11;7,2629;6,6657;5,6942;4,2716;3,7020;2,6441;1
316,1599;3834;3381;1229;1973;3670;4946;5954;4509;2372;118;1445;3587;1;484;2585;2402;4920;4567;5384;1887;2435;2090;6814;1385;2203;5967;3668;141;2168;907;6590;5549;5145;3601;2649;6106;1194;3826;2349;1961;2300;7086;271;4915;511;938;3109;1832;7142;6296;5466;1667;5834;641;280;6808;1982;5611;2807;1622;825;5754;6830;3422;1675;7012;4176;4514;1383;1524;7187;2118;140;2776,daytime:night,7229;100,6210;99,1680;98,853;97,2675;96,301;95,1120;94,2339;93,765;92,2944;91,2752;90,3116;89,4428;88,1516;87,2058;86,7124;85,1552;84,6725;83,1886;82,2261;81,4292;80,6297;79,7254;78,645;77,1675;76,2532;75,3013;74,1619;73,3771;72,6680;71,6852;70,5462;69,7218;68,7301;67,6526;66,1324;65,1787;64,6944;63,1342;62,1938;61,6871;60,1857;59,3067;58,7127;57,7182;56,7198;55,3064;54,1351;53,433;52,4786;51,3047;50,7192;49,6672;48,6295;47,1009;46,7149;45,3292;44,3213;43,1651;42,7251;41,6152;40,3563;39,685;38,4368;37,3093;36,2294;35,5260;34,7288;33,6828;32,7201;31,7213;30,7189;29,1746;28,7205;27,4079;26,7239;25,7262;24,7067;23,4747;22,7084;21,7040;20,6886;19,5266;18,7061;17,6856;16,5937;15,2131;14,7293;13,1994;12,2653;11,6741;10,391;9,7263;8,7255;7,11;6,2629;5,6657;4,6942;3,2716;2,7020;1
130,1564;4217;1546;1619;133;1958;4533;2891;1674;3117;7291;2617,daytime:afternoon,7229;100,1680;99,6210;98,853;97,2675;96,2339;95,1120;94,765;93,2944;92,301;91,2752;90,3116;89,1516;88,4428;87,7124;86,4292;85,2058;84,2261;83,7254;82,1886;81,1552;80,6297;79,6725;78,645;77,1675;76,2532;75,3013;74,3771;73,1619;72,6680;71,6852;70,5462;69,1324;68,1787;67,7301;66,1342;65,6526;64,7218;63,1938;62,7182;61,3067;60,6944;59,3064;58,7127;57,1857;56,6871;55,7198;54,3047;53,433;52,4786;51,1351;50,1009;49,6295;48,7149;47,6672;46,7192;45,3563;44,6828;43,7251;42,3093;41,3213;40,3292;39,7288;38,1651;37,4368;36,2294;35,685;34,7201;33,5260;32,6152;31,4747;30,4079;29,7189;28,7213;27,7067;26,7205;25,7061;24,7239;23,1994;22,7084;21,2629;20,6856;19,5967;18,7293;17,1746;16,6657;15,6108;14,6741;13,391;12,2653;11,7263;10,1681;9,7262;8,2131;7,7255;6,4099;5,5266;4,6886;3,11;2,5937;1
