100
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
52,4862;1649;1201;6545;1042;426;3990;4488;457,daytime:morning,1714;100,420;99,994;98,923;97,3859;96,3417;95,999;94,3636;93,821;92,2979;91,3972;90,673;89,3166;88,3591;87,4071;86,134;85,4288;84,5054;83,558;82,4830;81,3040;80,1373;79,4467;78,4531;77,2946;76,300;75,1131;74,1877;73,4462;72,2105;71,349;70,711;69,4215;68,2166;67,5267;66,6150;65,2074;64,374;63,1158;62,4147;61,3971;60,3396;59,4772;58,767;57,3664;56,3719;55,1920;54,3856;53,3017;52,4517;51,2182;50,1136;49,4128;48,3333;47,5973;46,6860;45,892;44,3488;43,3083;42,6488;41,4919;40,4597;39,2975;38,2071;37,6110;36,1589;35,3853;34,399;33,1139;32,1650;31,5271;30,3723;29,468;28,2505;27,3373;26,553;25,3870;24,4858;23,5090;22,6863;21,1030;20,4519;19,3144;18,3190;17,5970;16,38;15,4819;14,2796;13,5192;12,1469;11,3490;10,1104;9,3455;8,2078;7,3224;6,1522;5,5081;4,3832;3,3603;2,429;1
52,2193;2996;2101;3569;420;4006;3419;5158;5032;61;939,daytime:evening,1714;100,420;99,994;98,923;97,3859;96,3417;95,3636;94,821;93,2979;92,3433;91,3972;90,673;89,3166;88,3591;87,4071;86,134;85,5054;84,558;83,4830;82,3040;81,1373;80,4467;79,4531;78,2946;77,300;76,1131;75,4462;74,2105;73,349;72,711;71,2166;70,5267;69,6150;68,2074;67,374;66,1158;65,4147;64,3971;63,3396;62,4772;61,767;60,3664;59,3719;58,1920;57,3856;56,3017;55,4517;54,2182;53,1136;52,168;51,4128;50,4282;49,3333;48,5973;47,6860;46,892;45,3488;44,3083;43,6488;42,4919;41,4597;40,2975;39,2071;38,6110;37,1589;36,3853;35,1650;34,5271;33,3723;32,468;31,3373;30,553;29,3870;28,4858;27,5090;26,6863;25,1030;24,4519;23,3144;22,3190;21,5970;20,38;19,4819;18,2796;17,5192;16,1469;15,3490;14,1104;13,3455;12,2078;11,3224;10,1522;9,5081;8,3832;7,3603;6,429;5,5389;4,621;3,4108;2,2020;1
52,3539;2837;6922;2120;1131;5996;989;813;1403,daytime:night,1714;100,420;99,994;98,923;97,3859;96,999;95,3636;94,821;93,2979;92,3433;91,3972;90,673;89,3166;88,3591;87,4071;86,134;85,4288;84,5054;83,558;82,4830;81,3040;80,1373;79,4467;78,4531;77,2946;76,300;75,1131;74,1877;73,4462;72,2105;71,349;70,4215;69,5267;68,6150;67,2074;66,374;65,1158;64,4147;63,3971;62,3396;61,4772;60,767;59,3664;58,3719;57,1920;56,3856;55,3017;54,4517;53,2182;52,1136;51,168;50,4282;49,3333;48,5973;47,6860;46,892;45,3488;44,3083;43,6488;42,4919;41,4597;40,2975;39,2071;38,6110;37,1589;36,3853;35,399;34,1139;33,1650;32,5271;31,3723;30,468;29,2505;28,3373;27,553;26,4858;25,5090;24,6863;23,1030;22,4519;21,3190;20,5970;19,38;18,4819;17,2796;16,5192;15,1469;14,3490;13,1104;12,3455;11,2078;10,3224;9,1522;8,5081;7,3832;6,3603;5,429;4,5389;3,621;2,4108;1
52,3998;4063;2655;3763;5694;327;3126;2678;1067;6189;1412,daytime:afternoon,1714;100,420;99,994;98,923;97,3859;96,3417;95,999;94,3636;93,821;92,2979;91,3433;90,3972;89,673;88,3166;87,3591;86,4071;85,134;84,4288;83,5054;82,558;81,4830;80,3040;79,1373;78,4531;77,2946;76,300;75,1131;74,1877;73,4462;72,2105;71,349;70,711;69,4215;68,2166;67,5267;66,6150;65,2074;64,374;63,1158;62,4147;61,3971;60,3396;59,4772;58,767;57,3664;56,3719;55,3856;54,3017;53,4517;52,2182;51,1136;50,168;49,4128;48,4282;47,3333;46,5973;45,6860;44,892;43,3488;42,6488;41,4919;40,4597;39,2975;38,2071;37,1589;36,3853;35,399;34,1139;33,1650;32,5271;31,3723;30,468;29,2505;28,3373;27,553;26,3870;25,4858;24,5090;23,6863;22,1030;21,4519;20,3144;19,3190;18,5970;17,38;16,4819;15,2796;14,5192;13,1469;12,3490;11,1104;10,3455;9,2078;8,1522;7,5081;6,3832;5,3603;4,429;3,5389;2,621;1
20,4709;6305;6236;4962;4762;6784;2346;701;1983;112;1547;1080;6095;2400;86;5515;1656;3515;1979;3762;1287;1498;1945;1856;5270;5082;5746;5004;4470;2861;851;3601;5110;5193;2855;2195;2973;310;5373;4655;2448;3806;5203;1032;5651;182;3460;3883;5893;2645;2905;4913;3479;1102;2966;1294;6360;876,daytime:morning,1750;100,4080;99,207;98,6250;97,270;96,2501;95,27;94,86;93,6037;92,63;91,725;90,2817;89,1057;88,1131;87,603;86,1148;85,679;84,2859;83,3131;82,1305;81,189;80,2078;79,222;78,5973;77,974;76,3620;75,4247;74,439;73,1385;72,2662;71,386;70,3770;69,3069;68,3595;67,7036;66,1496;65,3975;64,2940;63,1919;62,173;61,137;60,181;59,584;58,1539;57,1773;56,4740;55,848;54,6141;53,1879;52,54;51,1166;50,6073;49,3891;48,975;47,788;46,3357;45,1641;44,500;43,97;42,2425;41,2338;40,3388;39,642;38,402;37,2471;36,290;35,232;34,333;33,2478;32,95;31,4706;30,60;29,1567;28,2539;27,2946;26,3299;25,1610;24,4671;23,1006;22,280;21,1321;20,6312;19,2595;18,51;17,2477;16,1756;15,2406;14,4789;13,4348;12,2003;11,457;10,1862;9,259;8,2998;7,420;6,235;5,1477;4,1086;3,141;2,1231;1
20,396;6527;1970;4406;1030;1262;3488;7041;1275;51;4713;113;2894;6385;4886;2108;3615;6273;3612;2433;5641;1817;3132;1936;5601;512;4800;6663;3778;5705;7024;4619;2336;6840;2143;3592;5693;2621;4191;4805;536;326;1715;3695;5303;2922;2854;3829;2405;1725;867;3770;6261;6154;2142;4427;2846;3766;5170;5237;6901;493;6776;6583;306;4860;6917;335;4120;6100;3990,daytime:evening,353;100,1750;99,604;98,207;97,6250;96,270;95,2501;94,86;93,6037;92,63;91,423;90,725;89,1057;88,603;87,1148;86,679;85,2859;84,3131;83,189;82,2078;81,974;80,4247;79,439;78,1385;77,2662;76,386;75,3770;74,2649;73,3069;72,3595;71,7036;70,1496;69,3975;68,2940;67,1919;66,173;65,754;64,137;63,181;62,467;61,584;60,1539;59,1773;58,848;57,6141;56,54;55,1166;54,6073;53,3891;52,4715;51,788;50,3357;49,1641;48,500;47,2338;46,3388;45,402;44,2471;43,290;42,232;41,333;40,2478;39,4706;38,60;37,2539;36,3415;35,2946;34,3299;33,4671;32,3575;31,1006;30,280;29,2591;28,1321;27,6312;26,2595;25,51;24,2430;23,2477;22,1756;21,2406;20,4348;19,2003;18,457;17,1862;16,259;15,2998;14,420;13,235;12,1477;11,1086;10,141;9,1231;8,1265;7,1645;6,1951;5,5427;4,1749;3,2666;2,5517;1
20,6599;5402;4558;2332;4413;4967;5745;2583;4025;1063;626;5487;771;855;1401;6201;785;2705;5387;2724;7136;5900;5915;1277;3674;5718;813;6621,daytime:night,353;100,1750;99,4080;98,604;97,207;96,6250;95,2501;94,27;93,86;92,6037;91,63;90,423;89,725;88,2817;87,1057;86,1131;85,603;84,2859;83,3131;82,1305;81,189;80,2078;79,222;78,5973;77,974;76,3620;75,4247;74,439;73,1385;72,2662;71,386;70,3770;69,2649;68,3595;67,7036;66,2940;65,1919;64,173;63,754;62,137;61,181;60,467;59,584;58,1539;57,1773;56,4740;55,848;54,6141;53,1879;52,54;51,1166;50,6073;49,3891;48,975;47,4715;46,788;45,1641;44,500;43,97;42,2425;41,3388;40,642;39,402;38,2471;37,232;36,333;35,2478;34,95;33,4706;32,60;31,1567;30,2539;29,3415;28,2946;27,1610;26,4671;25,3575;24,280;23,2591;22,1321;21,2595;20,51;19,2430;18,2477;17,1756;16,4789;15,4348;14,2003;13,457;12,259;11,2998;10,235;9,1477;8,1086;7,141;6,1231;5,1265;4,1645;3,2604;2,1951;1
20,3005;5962;5560;4651;5121;4439;6159;6655;445;1946;3753;2677;821;1813;3138;2872;551;3788;4567;4399;4919;2303;5443;1475;2057;2431;5457;3088;348;3192;5578;3932;3605;2412;6345;2948;5699;3424;506;4111;6216;6700;3600;2708;4374;241;1694;4708;300;4850;826;2596;4981;4670;100;5557;4798;4688;788;2840;4878;5759;6205;2147;3610;1673;5658;2307;1948;1811;76;2979;1533;5994,daytime:afternoon,353;100,1750;99,4080;98,604;97,207;96,270;95,2501;94,27;93,86;92,6037;91,423;90,725;89,2817;88,1057;87,1131;86,603;85,1148;84,679;83,2859;82,3131;81,1305;80,189;79,2078;78,222;77,5973;76,3620;75,4247;74,439;73,1385;72,2662;71,386;70,3770;69,2649;68,3069;67,3595;66,7036;65,1496;64,3975;63,2940;62,1919;61,173;60,754;59,181;58,467;57,584;56,1773;55,4740;54,848;53,6141;52,1879;51,54;50,1166;49,975;48,4715;47,788;46,3357;45,1641;44,500;43,97;42,2425;41,2338;40,642;39,402;38,2471;37,290;36,232;35,333;34,2478;33,95;32,4706;31,60;30,1567;29,3415;28,2946;27,3299;26,1610;25,4671;24,3575;23,1006;22,280;21,2591;20,1321;19,6312;18,51;17,2430;16,2477;15,1756;14,2406;13,4789;12,4348;11,2003;10,457;9,1862;8,259;7,2998;6,420;5,235;4,1477;3,1086;2,141;1
323,2041;84;4522;1196;3553;862;2848;4876;3951;320;1617;4403;5552;1571;5147;5427;657;1614;55;280;5576;2355;2387;3018;5296;1335;7024;6292;6778;4997;2604;1206;5360;3588;2556;1378;603;173;974;2693;1146;1999,daytime:morning,54;100,63;99,291;98,1477;97,184;96,2355;95,3028;94,280;93,333;92,60;91,189;90,270;89,95;88,646;87,742;86,104;85,6141;84,7036;83,769;82,56;81,6549;80,4080;79,86;78,3131;77,447;76,6675;75,725;74,6666;73,166;72,2347;71,2649;70,679;69,277;68,3498;67,458;66,657;65,222;64,232;63,2630;62,1786;61,3;60,3191;59,3983;58,1164;57,140;56,1231;55,1135;54,6059;53,604;52,3770;51,942;50,5095;49,141;48,808;47,1240;46,500;45,173;44,287;43,3774;42,1550;41,905;40,2268;39,386;38,4444;37,785;36,960;35,2338;34,1097;33,1883;32,1775;31,6037;30,207;29,1645;28,6250;27,432;26,263;25,2031;24,974;23,2848;22,2859;21,198;20,641;19,3620;18,420;17,256;16,53;15,1023;14,2422;13,7;12,45;11,2703;10,1255;9,2053;8,1977;7,33;6,181;5,3338;4,1750;3,267;2,516;1
323,4984;6157;33;7078;5470;1786;5323;502;4587;4898;706;3856;4923;2997;3943;6693;3579;1763;4932;4200;3810;1936;86;1739;629;6634;6591;1005;2955;604;5765;407;3172;908;4640;363;1231;696,daytime:evening,54;100,63;99,291;98,353;97,1477;96,184;95,2355;94,3028;93,280;92,333;91,189;90,270;89,95;88,742;87,104;86,7036;85,769;84,27;83,2501;82,56;81,6549;80,4080;79,86;78,3415;77,3131;76,447;75,6666;74,166;73,2347;72,2649;71,679;70,284;69,277;68,3498;67,458;66,657;65,2817;64,232;63,2630;62,1786;61,3;60,3191;59,3983;58,1164;57,140;56,1231;55,1135;54,6059;53,1057;52,604;51,3770;50,1514;49,5095;48,141;47,808;46,1240;45,500;44,173;43,287;42,3774;41,905;40,2268;39,386;38,4444;37,785;36,960;35,2338;34,1883;33,1775;32,102;31,6037;30,207;29,1645;28,6250;27,432;26,263;25,2031;24,974;23,1126;22,2848;21,2859;20,198;19,641;18,3620;17,420;16,256;15,366;14,53;13,2422;12,250;11,7;10,45;9,2703;8,1255;7,2053;6,1977;5,33;4,181;3,3338;2,1854;1
