100
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100
52,2610;6705;1877;844;4784;6814;3091;4155;4560,daytime:evening,923;100,14;99,849;98,51;97,180;96,6059;95,3926;94,1450;93,270;92,6134;91,184;90,141;89,4091;88,2946;87,474;86,284;85,2078;84,95;83,4282;82,1151;81,1712;80,83;79,5314;78,1010;77,1250;76,6158;75,338;74,7143;73,3804;72,1181;71,2516;70,679;69,222;68,386;67,2243;66,1131;65,1522;64,2908;63,4676;62,350;61,2003;60,1684;59,708;58,3341;57,5517;56,2678;55,3538;54,80;53,641;52,2536;51,3441;50,3478;49,3370;48,2590;47,1209;46,2843;45,230;44,2364;43,1196;42,763;41,5184;40,621;39,516;38,2837;37,6814;36,214;35,3406;34,5973;33,3643;32,4143;31,4500;30,1497;29,956;28,4965;27,3484;26,2031;25,2074;24,3274;23,1042;22,4783;21,409;20,1095;19,312;18,1311;17,3217;16,4072;15,3591;14,2553;13,5684;12,1487;11,2528;10,3088;9,974;8,432;7,4032;6,4052;5,4123;4,821;3,204;2,4216;1
52,2113;711;7082;13;5266;4128;3240;2331,daytime:night,923;100,14;99,849;98,180;97,6059;96,3926;95,1450;94,270;93,6134;92,184;91,141;90,4091;89,2946;88,420;87,474;86,284;85,2078;84,95;83,4282;82,1151;81,1712;80,5314;79,1139;78,1010;77,1250;76,6158;75,338;74,7143;73,3804;72,2430;71,1181;70,2516;69,679;68,222;67,386;66,2243;65,1522;64,2908;63,4676;62,350;61,2003;60,1684;59,708;58,3341;57,5517;56,2678;55,3538;54,80;53,641;52,2536;51,3441;50,3478;49,3370;48,2590;47,5584;46,1209;45,2843;44,4288;43,230;42,2364;41,1196;40,763;39,5184;38,621;37,516;36,6814;35,214;34,3406;33,5973;32,3643;31,4143;30,4500;29,1497;28,956;27,4965;26,3484;25,2031;24,5032;23,3239;22,2074;21,3274;20,1042;19,4783;18,409;17,1095;16,312;15,1311;14,399;13,3217;12,4072;11,3591;10,2553;9,5684;8,1487;7,2528;6,3088;5,974;4,432;3,4032;2,4052;1
52,3704;3577;5554;1377;1972;2651;5591;4807;355;368;3767;4882,daytime:afternoon,923;100,14;99,849;98,51;97,180;96,6059;95,3926;94,1450;93,270;92,6134;91,184;90,141;89,4091;88,2946;87,420;86,474;85,284;84,2078;83,95;82,4282;81,1151;80,1712;79,83;78,5314;77,1139;76,1010;75,1250;74,6158;73,338;72,7143;71,3804;70,2430;69,1181;68,2516;67,679;66,222;65,386;64,2243;63,1131;62,1522;61,2908;60,4676;59,350;58,2003;57,1684;56,708;55,3341;54,5517;53,3538;52,80;51,641;50,2536;49,3441;48,3478;47,3370;46,2590;45,5584;44,1209;43,2843;42,4288;41,230;40,2364;39,1196;38,763;37,5184;36,621;35,516;34,2837;33,6814;32,214;31,3406;30,5973;29,3643;28,4143;27,4500;26,1497;25,956;24,4965;23,3484;22,2031;21,5032;20,3239;19,2074;18,3274;17,1042;16,4783;15,409;14,1095;13,312;12,1311;11,399;10,3217;9,4072;8,3591;7,2553;6,5684;5,1487;4,2528;3,3088;2,974;1
20,1025;4699;3448;3853;3761;5623;1562;5942;2385;5471;4629;1935;2176;5107;4196;3958;6573;1976;3187;5545;5793;265;380;2150;4010;5682;353;959;236;4481;1329;3953;4341;5785;399;5382;2610;3774;4034;1718;3961;29;2537;2767;253;2884;4715;4654;872;4685;2622;3928;4615;2430;4917;1665;199;3679,daytime:morning,353;100,3717;99,458;98,545;97,2338;96,2094;95,1725;94,396;93,7;92,1734;91,173;90,1694;89,280;88,1131;87,2007;86,1550;85,2784;84,4740;83,3182;82,6250;81,3770;80,603;79,942;78,5586;77,232;76,3929;75,2239;74,4137;73,3;72,184;71,2251;70,27;69,10;68,54;67,3579;66,2512;65,1614;64,1936;63,333;62,3774;61,4469;60,4418;59,3293;58,48;57,1276;56,439;55,4685;54,5091;53,1401;52,1989;51,3620;50,456;49,2742;48,4548;47,757;46,2147;45,2740;44,4444;43,1948;42,3681;41,447;40,420;39,6157;38,199;37,222;36,343;35,3165;34,2347;33,646;32,3069;31,2268;30,584;29,1156;28,974;27,2124;26,2221;25,7013;24,5338;23,1148;22,4115;21,29;20,6141;19,4907;18,457;17,406;16,4632;15,241;14,2539;13,2387;12,4581;11,4087;10,1935;9,1319;8,2864;7,2490;6,3409;5,3975;4,3829;3,5117;2,799;1
20,817;545;1744;5999;2220;2375;1332;4839;5993;1337;4611;3639;4128;5135;580;1205;6771;3466;2248;1788;2713;3701;97;1783;2021;3924;2088;5447;6387;4122;3218;3445;3202;378;3283;3137;3505;4013;5949;4553;4230;5936;4802;3620;3185;3886;4837;1676;5607;1346;3588;1008;1578;1131;4961;3796;2913;2343,daytime:evening,353;100,3717;99,458;98,545;97,2338;96,250;95,604;94,423;93,7;92,524;91,1734;90,173;89,1694;88,280;87,1131;86,2007;85,1550;84,2784;83,5193;82,3182;81,6250;80,603;79,942;78,5586;77,232;76,3929;75,2239;74,86;73,4137;72,3;71,184;70,2251;69,10;68,54;67,3579;66,1614;65,333;64,3774;63,4469;62,4954;61,3293;60,48;59,1276;58,439;57,4685;56,2649;55,5091;54,1401;53,1989;52,3620;51,456;50,3415;49,2742;48,4548;47,757;46,2147;45,2740;44,4444;43,1948;42,1955;41,269;40,3681;39,447;38,420;37,6157;36,199;35,3165;34,2347;33,3069;32,2268;31,584;30,1156;29,2836;28,974;27,2221;26,7013;25,5338;24,1148;23,4115;22,29;21,6141;20,4907;19,457;18,241;17,2539;16,4581;15,4087;14,1935;13,1319;12,2864;11,2490;10,3409;9,3975;8,5117;7,799;6,4854;5,189;4,1008;3,2477;2,1365;1
20,5148;535;5912;5676;1569;1458;1607;6757;658;1148;3775;449;3716;820;6160;5671;564;1462;3357;6239;793;4380;3350;6503;4751;4496;2217;1490;6127,daytime:night,353;100,3717;99,458;98,545;97,2094;96,250;95,604;94,1725;93,423;92,396;91,7;90,524;89,1734;88,173;87,1694;86,280;85,1131;84,2007;83,1550;82,4740;81,5193;80,6250;79,3770;78,603;77,942;76,5586;75,232;74,2239;73,86;72,4137;71,3;70,184;69,2251;68,27;67,10;66,54;65,3579;64,2512;63,1614;62,1936;61,333;60,3774;59,4469;58,4954;57,4418;56,3293;55,48;54,1276;53,439;52,4685;51,2649;50,5091;49,1989;48,3620;47,456;46,3415;45,2742;44,4548;43,757;42,2147;41,2740;40,4444;39,1948;38,1955;37,269;36,3681;35,447;34,6157;33,199;32,222;31,343;30,3165;29,2347;28,646;27,2268;26,584;25,1156;24,2836;23,974;22,2124;21,2221;20,7013;19,5338;18,1148;17,4115;16,29;15,6141;14,4907;13,457;12,406;11,4632;10,241;9,2539;8,2387;7,4581;6,4087;5,1935;4,1319;3,2864;2,2490;1
20,1250;4978;4204;2007;255;2790;833;368;440;3800;3517;3536;1246;1044;936;4600;3988;5589;2273;3782;692;2517;3162;5541;1004;3317;5094;4291;5100;3717;5132;4076;1128;5028;6630;3469;4361;3010;4411;62;3872;3648;3787;1961;2785;4881;5258;2603;676;2832;2759;652;47;2384;69;350;4102;2845;4824;3651;3388;5206;5020;3525;2173;720;4586;4513;5694;1539;3129,daytime:afternoon,353;100,3717;99,545;98,2338;97,2094;96,250;95,604;94,1725;93,423;92,396;91,7;90,524;89,173;88,280;87,1131;86,2007;85,2784;84,4740;83,5193;82,3182;81,3770;80,603;79,5586;78,232;77,3929;76,2239;75,86;74,3;73,184;72,2251;71,27;70,10;69,54;68,2512;67,1936;66,333;65,3774;64,4954;63,4418;62,3293;61,48;60,1276;59,439;58,4685;57,2649;56,5091;55,1401;54,1989;53,3620;52,3415;51,2742;50,4548;49,757;48,2740;47,4444;46,1955;45,269;44,3681;43,447;42,420;41,6157;40,199;39,222;38,343;37,2347;36,646;35,3069;34,2268;33,584;32,1156;31,2836;30,2124;29,2221;28,7013;27,5338;26,1148;25,4115;24,29;23,6141;22,4907;21,457;20,406;19,4632;18,2387;17,4087;16,1935;15,1319;14,2864;13,2490;12,3975;11,3829;10,5117;9,799;8,189;7,1008;6,1970;5,4817;4,2477;3,1365;2,4930;1
323,102;6999;3127;2885;7102;4631;1305;377;1621;107;4017;178;5144;4841;4407;385;2660;5379;1801;1982;4090;2327;5987;3296;3607;5100;6223;993;3666;1515;4068;1465;5262,daytime:morning,270;100,420;99,1607;98,942;97,95;96,1148;95,8;94,10;93,6141;92,456;91,2703;90,184;89,291;88,60;87,1097;86,232;85,1914;84,1550;83,207;82,1666;81,71;80,2164;79,222;78,6368;77,2946;76,189;75,1645;74,3;73,3028;72,604;71,368;70,1453;69,269;68,1786;67,86;66,5004;65,2160;64,545;63,2784;62,1023;61,1622;60,2446;59,54;58,679;57,2094;56,2347;55,5584;54,849;53,3601;52,2630;51,2430;50,6067;49,140;48,1102;47,141;46,339;45,1164;44,3770;43,3717;42,1657;41,432;40,4032;39,2575;38,518;37,2057;36,6134;35,799;34,370;33,168;32,104;31,3975;30,1796;29,3696;28,1955;27,1948;26,4295;25,798;24,144;23,5973;22,439;21,524;20,441;19,3943;18,198;17,7013;16,51;15,1170;14,1883;13,132;12,256;11,294;10,2894;9,742;8,5517;7,2682;6,2740;5,4740;4,912;3,333;2,646;1
323,2508;719;1023;7261;533;1167;3625;424;6109;2267;1281;4190;2296;2947;749;448;1205;4920;6495;427;2888;2580;5665;1121;1321;725;5084;1183,daytime:evening,270;100,420;99,1607;98,95;97,1148;96,8;95,10;94,456;93,1854;92,2703;91,184;90,27;89,291;88,232;87,1914;86,207;85,974;84,1666;83,71;82,280;81,2164;80,6368;79,2946;78,189;77,1645;76,3;75,3028;74,173;73,368;72,1453;71,269;70,5004;69,2160;68,545;67,2784;66,1023;65,1622;64,2446;63,54;62,3553;61,679;60,2094;59,2347;58,5584;57,849;56,353;55,2630;54,2430;53,6067;52,140;51,1102;50,141;49,1164;48,3770;47,3717;46,1657;45,432;44,2355;43,4032;42,3069;41,2575;40,518;39,2057;38,6134;37,799;36,666;35,370;34,168;33,104;32,3975;31,1796;30,3696;29,1955;28,1948;27,4295;26,798;25,144;24,5973;23,439;22,524;21,441;20,198;19,7013;18,284;17,51;16,1170;15,1883;14,250;13,132;12,256;11,294;10,2894;9,742;8,5517;7,2682;6,3238;5,2740;4,1563;3,1725;2,4740;1
323,1279;1302;6404;5874;245;6259;3135;5806;1898;118;4695;2241;701;6911;2291;4889;766;370;2550;1704;5777;7053;3788;1400;25;3496;6367;5194;54;5572;2378;6013;2645;3408;4082;67;3149;501;1319;153;1154,daytime:night,420;100,942;99,95;98,1148;97,10;96,6141;95,456;94,1854;93,2703;92,184;91,27;90,291;89,60;88,1097;87,1914;86,1550;85,974;84,1666;83,71;82,280;81,222;80,6368;79,2946;78,189;77,1645;76,604;75,173;74,1453;73,269;72,1786;71,86;70,5004;69,2160;68,545;67,2784;66,1023;65,1622;64,2446;63,54;62,3553;61,679;60,2094;59,2347;58,5584;57,849;56,3601;55,353;54,2630;53,2430;52,6067;51,140;50,1102;49,141;48,339;47,1164;46,3770;45,3717;44,1657;43,2355;42,4032;41,3069;40,2575;39,518;38,2057;37,6134;36,799;35,666;34,370;33,168;32,104;31,3975;30,1796;29,3696;28,1955;27,1948;26,4295;25,798;24,144;23,439;22,524;21,441;20,3943;19,198;18,7013;17,284;16,51;15,1170;14,1883;13,250;12,132;11,256;10,294;9,2894;8,5517;7,2682;6,3238;5,2740;4,1563;3,1725;2,4740;1
