50
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50
52,4960;3276;4813;1567;5814;6328;5800;4870,daytime:morning,270;50,27;49,1136;48,136;47,1131;46,5517;45,2221;44,5295;43,420;42,3444;41,996;40,6216;39,1421;38,54;37,3767;36,7082;35,141;34,38;33,516;32,51;31,2703;30,1095;29,1765;28,2595;27,4809;26,4361;25,100;24,353;23,1250;22,1756;21,1536;20,799;19,5971;18,893;17,4323;16,2372;15,2359;14,7023;13,1712;12,2996;11,12;10,2110;9,83;8,2894;7,184;6,2915;5,3595;4,6067;3,1734;2,250;1
52,1387;4215;3923;4288;3785;399;440;6090;410;2164;2372;6337;4231;1446;2098,daytime:evening,270;50,1136;49,136;48,1131;47,5517;46,2221;45,5295;44,222;43,3444;42,996;41,6216;40,1421;39,54;38,3767;37,7082;36,141;35,38;34,516;33,51;32,2703;31,3088;30,1095;29,1765;28,1365;27,2595;26,4809;25,4361;24,100;23,353;22,1250;21,1756;20,1536;19,799;18,5971;17,893;16,4323;15,2372;14,2359;13,7023;12,1712;11,168;10,12;9,2110;8,83;7,184;6,6067;5,1734;4,250;3,3620;2,1142;1
52,5461;6779;2649;1771;5443;1006;5241;3776;4307;6704,daytime:night,270;50,27;49,1136;48,136;47,5517;46,2221;45,5295;44,222;43,420;42,3444;41,996;40,6216;39,54;38,3767;37,141;36,38;35,516;34,2703;33,3088;32,1095;31,1765;30,1365;29,2595;28,4809;27,4361;26,100;25,353;24,1250;23,1756;22,1536;21,799;20,5971;19,893;18,4323;17,2372;16,2359;15,7023;14,1712;13,168;12,2996;11,12;10,2110;9,2894;8,184;7,2915;6,3595;5,6067;4,1734;3,250;2,3620;1
52,6110;6195;1457;799;3010;2511;2521,daytime:afternoon,270;50,27;49,1136;48,136;47,1131;46,5517;45,2221;44,5295;43,222;42,420;41,3444;40,996;39,6216;38,1421;37,54;36,7082;35,141;34,38;33,516;32,51;31,2703;30,3088;29,1095;28,1765;27,1365;26,2595;25,4809;24,4361;23,100;22,353;21,1250;20,1756;19,1536;18,799;17,5971;16,893;15,2372;14,2359;13,7023;12,1712;11,168;10,2996;9,12;8,2110;7,83;6,2894;5,184;4,2915;3,3595;2,6067;1
20,4487;4182;5698;7100;1605;4573;2970;7088;4923;1485;3892;5976;3044;5618;345;6577;2685;347;1173;2858;1831;3225;214;2105;860;6252;1296;5286;2013;2393;4267;946;6513;1534;3289;4537;5743;5673;1990;912;2040;893;1613;5503;5105;5256;2650;2099;754;4527;6789;1388;1891;226;604;2591;5577;4593;1425;1521;2515;6065;5398;4621;1221,daytime:morning,1131;50,6067;49,1250;48,240;47,604;46,439;45,3579;44,4923;43,811;42,7262;41,1715;40,3588;39,420;38,564;37,6797;36,1087;35,6599;34,457;33,3770;32,1148;31,5758;30,51;29,1614;28,2993;27,4427;26,2078;25,4168;24,6604;23,5139;22,5767;21,4361;20,3717;19,4854;18,333;17,1425;16,300;15,4418;14,283;13,229;12,2946;11,4920;10,136;9,1380;8,2693;7,5150;6,1422;5,4567;4,88;3,421;2,1142;1
20,975;4679;406;3430;2473;3862;5956;2094;713;5563;428;3906;1911;591;4508;3934;1445;5896;4770;5989;453;5026;6890;2817;2059;2378;6138;3273;2611;5168;1766;27;2037;4316;646;21;5663;4641;5913;715;5856;5810;5771;1879;5483;6352;2676;4417;1305;6079;4659;2700;165;1087;3503;222;4418;1757;4630;2387;5071;5811;3939;2604;2536;6615;6319;5742;5926;1070;5084;4711;2030,daytime:evening,6067;50,353;49,2649;48,1250;47,240;46,604;45,1176;44,439;43,3579;42,4923;41,811;40,269;39,399;38,7262;37,420;36,564;35,1087;34,6599;33,457;32,1148;31,5758;30,2836;29,250;28,1614;27,2233;26,1935;25,2993;24,423;23,2078;22,1025;21,4168;20,28;19,6604;18,5767;17,4361;16,4911;15,3717;14,4854;13,3953;12,333;11,1425;10,300;9,4418;8,283;7,229;6,2946;5,4920;4,136;3,1380;2,2693;1
20,5890;2809;1510;679;3797;1895;247;3450;17;317;1352;4263;2652;6330;390;6042;2664;5223;4930;2338;382;6277;3182;2327;3069;5032;4823;2366;2729;3929;4505;4342;999;6312;6143;244;1862;6550;6376,daytime:night,1131;50,6067;49,353;48,2649;47,1250;46,240;45,604;44,1176;43,439;42,3579;41,4923;40,811;39,269;38,399;37,7262;36,1715;35,3588;34,6797;33,1087;32,457;31,3770;30,5758;29,2836;28,51;27,250;26,1614;25,2233;24,1935;23,423;22,4427;21,2078;20,1025;19,4168;18,28;17,6604;16,5139;15,5767;14,4361;13,4911;12,3717;11,4854;10,3953;9,333;8,1425;7,300;6,4418;5,283;4,229;3,2946;2,4920;1
20,6999;1069;1095;1093;1550;3340;5048;6200;2024;6073;2811;3658;5497;1687;791;1630;2483;5523;444;3363;5034;2760;3455;1129;4956;4681;6697;2671;3134;2028;874;6383;5349;3208;1012;2408;2968;3967;3992;1106;5549;6075;4628;5853;5566;3977;1023;5679;4353;1269;137;3028;530;3622;2086;3783;5823;5211;3537;6661;1426;129;5642;5891;4107;3344;456;2379;5864;1821,daytime:afternoon,1131;50,6067;49,353;48,2649;47,240;46,604;45,1176;44,439;43,4923;42,811;41,269;40,399;39,7262;38,1715;37,3588;36,420;35,564;34,6797;33,1087;32,6599;31,457;30,3770;29,1148;28,5758;27,2836;26,51;25,250;24,2233;23,1935;22,2993;21,423;20,4427;19,2078;18,1025;17,28;16,6604;15,5139;14,5767;13,4911;12,3953;11,333;10,1425;9,4418;8,283;7,229;6,2946;5,4920;4,136;3,1380;2,2693;1
323,4516;4070;4613;666;4572;4691;5720;2790;5951;6624;4029;5537;1854;4008;2499;3470;6407;783;1211;1086;1401;5078;714;4486;6205;366;3619;2880;825;250;475;1525;793;195;2912;5852;1699;1736;660,daytime:morning,270;50,3444;49,51;48,54;47,250;46,63;45,420;44,3770;43,456;42,3;41,725;40,291;39,3575;38,60;37,104;36,6141;35,1550;34,3799;33,140;32,232;31,1365;30,1607;29,545;28,4585;27,198;26,68;25,942;24,321;23,2528;22,144;21,207;20,227;19,340;18,2074;17,2888;16,5874;15,294;14,6067;13,516;12,6885;11,6250;10,6112;9,7082;8,56;7,38;6,14;5,277;4,406;3,3681;2,6007;1
323,913;2834;60;3894;5351;2260;3937;5481;985;2205;2210;6975;3646;5441;2453;4095;924;6628;1450;2303;243;1848;622;4616;2999;5509;4935;3900;6185;1131;6116;450;339,daytime:evening,270;50,3444;49,51;48,54;47,250;46,63;45,974;44,420;43,173;42,3770;41,3415;40,456;39,353;38,3;37,291;36,1057;35,3575;34,60;33,104;32,3799;31,3588;30,140;29,232;28,1365;27,1607;26,545;25,2355;24,2817;23,4585;22,198;21,68;20,321;19,603;18,2528;17,144;16,207;15,340;14,2074;13,5874;12,1055;11,294;10,6067;9,516;8,6885;7,993;6,6250;5,7082;4,2604;3,56;2,38;1
