50
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50
52,2528;2574;3610;3698;4282;6414;2815;3696;1489,daytime:morning,1363;50,3736;49,854;48,974;47,112;46,923;45,2772;44,2946;43,3539;42,2036;41,1095;40,2591;39,2101;38,3441;37,420;36,1522;35,4720;34,3017;33,5358;32,3763;31,4809;30,5945;29,5196;28,2595;27,300;26,4875;25,3852;24,1412;23,4071;22,2811;21,1102;20,582;19,3348;18,2063;17,1421;16,2598;15,4970;14,327;13,849;12,3488;11,2528;10,1181;9,4796;8,4264;7,4945;6,85;5,1529;4,3010;3,75;2,5138;1
52,6805;5109;703;3239;4970;1139;1845;3595;27;5457;999;348;2915;812,daytime:evening,1363;50,3736;49,854;48,974;47,992;46,112;45,923;44,2772;43,2946;42,3539;41,2036;40,1095;39,2591;38,3441;37,1522;36,4720;35,3017;34,2584;33,5358;32,3763;31,4809;30,5945;29,5196;28,2595;27,300;26,4875;25,3852;24,1412;23,4071;22,1567;21,2811;20,222;19,1102;18,3088;17,582;16,3348;15,2063;14,1421;13,2598;12,4970;11,327;10,849;9,3488;8,2528;7,1181;6,4796;5,4264;4,4945;3,85;2,621;1
52,3144;1969;3870;7181;1421;3417;3720;4017;7266;51,daytime:night,1363;50,3736;49,854;48,974;47,992;46,112;45,923;44,2772;43,2946;42,2036;41,1095;40,2591;39,2101;38,3441;37,420;36,1522;35,4720;34,3017;33,2584;32,5358;31,3763;30,4809;29,5945;28,5196;27,2595;26,300;25,4875;24,3852;23,1412;22,4071;21,1567;20,2811;19,222;18,1102;17,3088;16,582;15,3348;14,2063;13,1421;12,2598;11,4970;10,327;9,849;8,3488;7,2528;6,1181;5,4796;4,4264;3,4945;2,85;1
52,3083;3142;2415;3202;4523;6568;3244;5319;3505;4467,daytime:afternoon,1363;50,3736;49,854;48,974;47,992;46,112;45,923;44,2772;43,2946;42,3539;41,2036;40,1095;39,2591;38,2101;37,3441;36,420;35,1522;34,4720;33,3017;32,2584;31,5358;30,4809;29,5945;28,5196;27,2595;26,300;25,4875;24,3852;23,4071;22,1567;21,2811;20,222;19,1102;18,3088;17,582;16,3348;15,1421;14,2598;13,4970;12,849;11,3488;10,2528;9,1181;8,4796;7,4264;6,4945;5,85;4,621;3,1529;2,75;1
20,3839;4925;5760;4539;5480;28;2005;3321;1955;3118;3032;5013;268;2063;2538;6349;5275;3415;3057;233;4954;2841;2880;5508;250;3254;6862;957;3391;2148;854;3231;5925;2432;4911;3866;5249;2649;4939;101;2836;5231;4109;6795;4990;4236;5839;5031;524;468;2480;3689;1176;3557;5845;1639;5620;782;3390;3395;1165;5955;272;4183;681,daytime:morning,1148;50,3829;49,4930;48,1550;47,1879;46,95;45,2164;44,2477;43,2124;42,2724;41,2143;40,4849;39,2082;38,1748;37,5264;36,5578;35,5332;34,2755;33,4740;32,5100;31,2470;30,1255;29,6026;28,1917;27,5449;26,3032;25,5517;24,241;23,7078;22,788;21,3773;20,2604;19,2859;18,1883;17,393;16,254;15,1496;14,521;13,545;12,4614;11,4225;10,2177;9,2703;8,3119;7,2662;6,2940;5,6250;4,1701;3,56;2,3929;1
20,2280;5977;5629;2749;3719;5354;1461;795;3580;2982;3972;6878;5473;5903;4438;5974;4590;3854;5199;1187;2690;2425;2435;4789;1664;6002;4693;2020;2266;6984;5724;4080;6410;6092;2104;223;2128;1731;2699;151;3396;4639;554;2395;5163;5485;3434;3224;4817;6347;5850;14;343;6910;3707;2183;5894;3240;3372;3255;3531;4530;5860;5830;88;5103;3058;5612,daytime:evening,353;50,1148;49,4196;48,6219;47,4930;46,1550;45,2164;44,2477;43,2724;42,4849;41,6334;40,2082;39,1748;38,604;37,2645;36,5264;35,5578;34,5332;33,2755;32,5100;31,2470;30,3953;29,1255;28,6026;27,1917;26,5449;25,3032;24,5517;23,241;22,2858;21,7078;20,788;19,269;18,3773;17,2859;16,1883;15,393;14,254;13,1935;12,1496;11,521;10,4614;9,4225;8,2177;7,2703;6,3119;5,2662;4,2940;3,6250;2,1701;1
20,3144;3759;6128;4175;1006;2510;3299;6044;2579;6825;4295;4535;1682;270;6985;2406;364;2784;5022;4696;2362;6038;6547;568;2734;605;5464;5449;4321;742,daytime:night,353;50,3829;49,4196;48,6219;47,1550;46,1879;45,95;44,2164;43,2477;42,2124;41,2143;40,4849;39,6334;38,2082;37,1748;36,604;35,2645;34,5264;33,5578;32,5332;31,2755;30,4740;29,5100;28,2470;27,3953;26,1255;25,6026;24,1917;23,5449;22,3032;21,5517;20,241;19,2858;18,7078;17,788;16,269;15,3773;14,2604;13,2859;12,1883;11,393;10,254;9,1935;8,521;7,545;6,4614;5,4225;4,2177;3,2703;2,3119;1
20,3164;4071;1428;3244;4765;1672;4653;1161;4083;431;1636;4581;2505;3876;4890;1484;1614;5099;5050;4597;2584;1710;6694;2117;4278;5872;3908;3353;2602;4323;3031;6938;3567;5529;1734;4970;5185;1555;2313;942;5770;1235;5383;6608;5996;4554;2539;5600;3278;2137;6475;5657;3589;2451;2816;458;2556;3597;381;5073;5077;4980;1968;4514;2595;3485,daytime:afternoon,353;50,1148;49,3829;48,4196;47,6219;46,4930;45,1879;44,95;43,2164;42,2477;41,2124;40,2724;39,2143;38,4849;37,6334;36,2082;35,1748;34,604;33,2645;32,5264;31,5332;30,2755;29,4740;28,2470;27,3953;26,1255;25,6026;24,5449;23,3032;22,5517;21,2858;20,7078;19,269;18,3773;17,2604;16,2859;15,1883;14,393;13,254;12,1935;11,1496;10,521;9,545;8,4614;7,4225;6,2177;5,2703;4,3119;3,2662;2,2940;1
323,774;6350;3719;4142;4633;6314;2662;1725;2511;194;736;4264;4201;508;1618;1045;3143;3875;2505;1057;595;1022;1364;2672;5670;1417;6111;2817;3069;5451;682;1055;1778;4120;27;4107;6865;3709;824;2613;6561;353,daytime:morning,353;50,291;49,1057;48,432;47,1420;46,932;45,104;44,7;43,1131;42,232;41,56;40,270;39,63;38,785;37,679;36,51;35,86;34,277;33,141;32,95;31,406;30,54;29,4465;28,604;27,7143;26,1607;25,189;24,2151;23,131;22,97;21,333;20,6141;19,1194;18,905;17,457;16,458;15,681;14,3028;13,2662;12,2652;11,140;10,1883;9,269;8,3799;7,181;6,1477;5,184;4,27;3,1499;2,960;1
323,5070;4245;2823;5592;6670;1550;6112;6566;2375;6141;1214;7069;3664;3102;5055;4369;3487;2692;2000;227;788;3277;1188;5273;3043;2605;920;4044;491;973;646;3404,daytime:evening,353;50,291;49,1057;48,432;47,1420;46,932;45,104;44,7;43,232;42,173;41,56;40,270;39,63;38,2501;37,785;36,280;35,679;34,51;33,277;32,141;31,95;30,406;29,54;28,4465;27,7143;26,284;25,1607;24,189;23,2151;22,131;21,97;20,333;19,6141;18,250;17,1194;16,905;15,457;14,458;13,681;12,3028;11,2662;10,2652;9,140;8,1883;7,269;6,3799;5,181;4,3588;3,84;2,1477;1
