50
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50
52,222;3687;2052;344;6246;2584;74;3433;1755;1365;621;4117;3088;168;6134;1533,daytime:morning,7229;50,1680;49,6210;48,853;47,2675;46,301;45,2944;44,1120;43,2339;42,765;41,2752;40,4428;39,3116;38,1516;37,2058;36,6297;35,2261;34,6725;33,1552;32,7254;31,7124;30,1886;29,1675;28,4292;27,1619;26,2532;25,645;24,3771;23,6680;22,5462;21,3013;20,6526;19,7301;18,6944;17,6852;16,7218;15,6871;14,1342;13,1938;12,1787;11,1857;10,1324;9,7127;8,7198;7,1351;6,7182;5,3067;4,4368;3,3064;2,433;1
127,2958;2772;7040;7195,daytime:night,74;50,2206;49,2532;48,4509;47,730;46,5594;45,6469;44,5803;43,6410;42,5841;41,5167;40,3293;39,3544;38,6020;37,3268;36,876;35,4899;34,800;33,1047;32,6439;31,5032;30,5987;29,7103;28,3729;27,5566;26,2814;25,5585;24,6846;23,3829;22,1873;21,4670;20,3746;19,2986;18,1703;17,2036;16,6886;15,4361;14,3906;13,1262;12,1692;11,3013;10,7251;9,3250;8,7262;7,355;6,5141;5,5132;4,3187;3,245;2,1720;1
128,1210;2665;3424;389;4249;3244;3630;4653;4660;2490;3774;4265;3852;2870;4378;5159;786;3955;347;1478;5541;2722;6526;4840;4425;2880;1403;1969;5746;670;748;2865;3091,daytime:evening,7229;50,1680;49,6210;48,853;47,2675;46,2339;45,301;44,1120;43,2944;42,765;41,2752;40,4428;39,3116;38,1516;37,2058;36,2261;35,1552;34,6297;33,1886;32,7124;31,6725;30,7254;29,4292;28,645;27,1675;26,2532;25,1619;24,3771;23,3013;22,6680;21,5462;20,6852;19,7218;18,6526;17,1324;16,7301;15,6944;14,1938;13,1342;12,1787;11,7127;10,1857;9,6871;8,3067;7,7198;6,7182;5,3064;4,1351;3,433;2,3047;1
42,1494;680;3498;565;1095;1122;2909;5978;762;5537;128;5283;4889;4836;1477;6182;3300;657;2495;7219;602;3054;500;6034;2379;173;761;1419;6177;660;2136;6531,daytime:afternoon,7229;50,1680;49,6210;48,853;47,2675;46,301;45,2339;44,1120;43,2944;42,765;41,2752;40,4428;39,3116;38,1516;37,2058;36,1552;35,2261;34,7124;33,1886;32,6297;31,6725;30,7254;29,4292;28,645;27,1675;26,2532;25,1619;24,3771;23,3013;22,6680;21,5462;20,6852;19,7218;18,6526;17,1324;16,7301;15,6944;14,1787;13,1342;12,1938;11,7127;10,6871;9,1857;8,3067;7,7198;6,7182;5,3064;4,1351;3,433;2,4786;1
298,1824;2246;5824;3046;3343;474;888;6944,daytime:afternoon,7229;50,853;49,6210;48,1680;47,765;46,2675;45,2752;44,2944;43,2261;42,1120;41,1516;40,2058;39,4292;38,3116;37,7124;36,2339;35,301;34,645;33,4428;32,6297;31,7254;30,1552;29,7182;28,3013;27,1886;26,6852;25,6680;24,1675;23,6725;22,1787;21,7149;20,6526;19,3067;18,1619;17,1324;16,5462;15,7218;14,7301;13,3771;12,2532;11,3064;10,1857;9,1351;8,1009;7,4786;6,7127;5,7198;4,6295;3,2294;2,1651;1
185,2685;3925;5402;6681;1006;3460;3336;765;1775;2073;5972;2853;3975;5363;22;851;5159,daytime:evening,7229;50,6210;49,1680;48,853;47,2675;46,301;45,2339;44,1120;43,2944;42,2752;41,765;40,4428;39,3116;38,1516;37,2058;36,1552;35,7124;34,6725;33,6297;32,1886;31,2261;30,7254;29,4292;28,1675;27,645;26,2532;25,1619;24,3771;23,6680;22,3013;21,5462;20,6852;19,6526;18,7218;17,7301;16,6944;15,1324;14,1787;13,1938;12,1342;11,6871;10,1857;9,7198;8,7127;7,7182;6,3067;5,3064;4,1351;3,6672;2,1009;1
185,953;1741;703;4398;6029;477;4743;2414;1816;6073;2864;919;2621;2990;2258;2185;4263;1148;5147;1770;2078,daytime:afternoon,7229;50,6210;49,1680;48,853;47,2675;46,301;45,2339;44,1120;43,2944;42,2752;41,765;40,4428;39,3116;38,1516;37,2058;36,1552;35,7124;34,6725;33,6297;32,1886;31,2261;30,7254;29,4292;28,1675;27,645;26,2532;25,1619;24,3771;23,6680;22,3013;21,5462;20,6852;19,6526;18,7218;17,7301;16,6944;15,1324;14,1787;13,1938;12,1342;11,6871;10,1857;9,7198;8,7127;7,7182;6,3067;5,3064;4,1351;3,6672;2,1009;1
316,1909;666;406;5482;1134;5319;4467;6302;1243;3517;508;596;6628;6697;4919;1315;1097;3624;2262;2888;429;982;1708;6545;5024;6794;459;5416;6855;4969;2154;1334;2524;3;6397;6911;3506;857;2058;1115;1021;4818;6347;4343;5819;5235;7035;7047;4933;2695;1533;1013,daytime:morning,7229;50,6210;49,1680;48,853;47,2675;46,301;45,1120;44,2339;43,765;42,2944;41,2752;40,3116;39,4428;38,1516;37,2058;36,7124;35,1552;34,6725;33,1886;32,2261;31,4292;30,6297;29,7254;28,645;27,1675;26,2532;25,3013;24,1619;23,3771;22,6680;21,6852;20,5462;19,7218;18,7301;17,6526;16,1324;15,1787;14,6944;13,1342;12,1938;11,6871;10,1857;9,3067;8,7127;7,7182;6,7198;5,3064;4,1351;3,433;2,4786;1
316,1599;3834;3381;1229;1973;3670;4946;5954;4509;2372;118;1445;3587;1;484;2585;2402;4920;4567;5384;1887;2435;2090;6814;1385;2203;5967;3668;141;2168;907;6590;5549;5145;3601;2649;6106;1194;3826;2349;1961;2300;7086;271;4915;511;938;3109;1832;7142;6296;5466;1667;5834;641;280;6808;1982;5611;2807;1622;825;5754;6830;3422;1675;7012;4176;4514;1383;1524;7187;2118;140;2776,daytime:night,7229;50,6210;49,1680;48,853;47,2675;46,301;45,1120;44,2339;43,765;42,2944;41,2752;40,3116;39,4428;38,1516;37,2058;36,7124;35,1552;34,6725;33,1886;32,2261;31,4292;30,6297;29,7254;28,645;27,1675;26,2532;25,3013;24,1619;23,3771;22,6680;21,6852;20,5462;19,7218;18,7301;17,6526;16,1324;15,1787;14,6944;13,1342;12,1938;11,6871;10,1857;9,3067;8,7127;7,7182;6,7198;5,3064;4,1351;3,433;2,4786;1
130,1564;4217;1546;1619;133;1958;4533;2891;1674;3117;7291;2617,daytime:afternoon,7229;50,1680;49,6210;48,853;47,2675;46,2339;45,1120;44,765;43,2944;42,301;41,2752;40,3116;39,1516;38,4428;37,7124;36,4292;35,2058;34,2261;33,7254;32,1886;31,1552;30,6297;29,6725;28,645;27,1675;26,2532;25,3013;24,3771;23,1619;22,6680;21,6852;20,5462;19,1324;18,1787;17,7301;16,1342;15,6526;14,7218;13,1938;12,7182;11,3067;10,6944;9,3064;8,7127;7,1857;6,6871;5,7198;4,3047;3,433;2,4786;1
