lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01125,0.01122,0.01000,0.00996,0.01082,0.01079
0.10000,0.01125,0.01113,0.01000,0.00990,0.01082,0.01073
0.20000,0.01125,0.01077,0.01000,0.00937,0.01082,0.01029
0.30000,0.01125,0.01050,0.01000,0.00906,0.01082,0.01002
0.40000,0.01125,0.01003,0.01000,0.00863,0.01082,0.00962
0.50000,0.01125,0.00981,0.01000,0.00854,0.01082,0.00950
0.60000,0.01125,0.00974,0.01000,0.00852,0.01082,0.00949
0.70000,0.01125,0.00959,0.01000,0.00842,0.01082,0.00944
0.80000,0.01125,0.00947,0.01000,0.00835,0.01082,0.00943
0.90000,0.01125,0.00916,0.01000,0.00811,0.01082,0.00920
1.00000,0.01125,0.00893,0.01000,0.00797,0.01082,0.00910
