lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02684,0.02682,0.02420,0.02420
0.10000,0.02684,0.02700,0.02420,0.02443
0.20000,0.02684,0.02614,0.02420,0.02439
0.30000,0.02684,0.02517,0.02420,0.02413
0.40000,0.02684,0.02491,0.02420,0.02409
0.50000,0.02684,0.02484,0.02420,0.02386
0.60000,0.02684,0.02475,0.02420,0.02375
0.70000,0.02684,0.02435,0.02420,0.02353
0.80000,0.02684,0.02386,0.02420,0.02337
0.90000,0.02684,0.02341,0.02420,0.02309
1.00000,0.02684,0.02330,0.02420,0.02290
