lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01160,0.01160,0.01036,0.01036,0.01122,0.01122
0.10000,0.01160,0.01143,0.01036,0.01013,0.01122,0.01099
0.20000,0.01160,0.01116,0.01036,0.01001,0.01122,0.01088
0.30000,0.01160,0.01079,0.01036,0.00969,0.01122,0.01063
0.40000,0.01160,0.01067,0.01036,0.00955,0.01122,0.01052
0.50000,0.01160,0.01036,0.01036,0.00923,0.01122,0.01024
0.60000,0.01160,0.01036,0.01036,0.00925,0.01122,0.01032
0.70000,0.01160,0.01006,0.01036,0.00896,0.01122,0.01007
0.80000,0.01160,0.01003,0.01036,0.00896,0.01122,0.01010
0.90000,0.01160,0.00994,0.01036,0.00887,0.01122,0.01005
1.00000,0.01160,0.00979,0.01036,0.00867,0.01122,0.00987
