lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01160,0.01160,0.01036,0.01036,0.01122,0.01122
0.10000,0.01160,0.01116,0.01036,0.01011,0.01122,0.01100
0.20000,0.01160,0.01058,0.01036,0.00962,0.01122,0.01059
0.30000,0.01160,0.00961,0.01036,0.00915,0.01122,0.01017
0.40000,0.01160,0.00938,0.01036,0.00898,0.01122,0.00998
0.50000,0.01160,0.00911,0.01036,0.00883,0.01122,0.00984
0.60000,0.01160,0.00869,0.01036,0.00863,0.01122,0.00967
0.70000,0.01160,0.00861,0.01036,0.00862,0.01122,0.00970
0.80000,0.01160,0.00844,0.01036,0.00840,0.01122,0.00950
0.90000,0.01160,0.00823,0.01036,0.00820,0.01122,0.00932
1.00000,0.01160,0.00793,0.01036,0.00795,0.01122,0.00909
