lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.00121,0.00121,0.00192,0.00192,0.00221,0.00221
0.10000,0.00121,0.00085,0.00192,0.00186,0.00221,0.00212
0.20000,0.00121,0.00115,0.00192,0.00205,0.00221,0.00230
0.30000,0.00121,0.00104,0.00192,0.00200,0.00221,0.00230
0.40000,0.00121,0.00120,0.00192,0.00207,0.00221,0.00240
0.50000,0.00121,0.00169,0.00192,0.00227,0.00221,0.00253
0.60000,0.00121,0.00245,0.00192,0.00276,0.00221,0.00299
0.70000,0.00121,0.00256,0.00192,0.00287,0.00221,0.00309
0.80000,0.00121,0.00290,0.00192,0.00326,0.00221,0.00349
0.90000,0.00121,0.00302,0.00192,0.00333,0.00221,0.00357
1.00000,0.00121,0.00291,0.00192,0.00328,0.00221,0.00356
