lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02508,0.02503,0.02455,0.02453
0.10000,0.02508,0.02430,0.02455,0.02432
0.20000,0.02508,0.02294,0.02455,0.02401
0.30000,0.02508,0.02168,0.02455,0.02326
0.40000,0.02508,0.02091,0.02455,0.02263
0.50000,0.02508,0.01991,0.02455,0.02207
0.60000,0.02508,0.01944,0.02455,0.02132
0.70000,0.02508,0.01891,0.02455,0.02119
0.80000,0.02508,0.01846,0.02455,0.02091
0.90000,0.02508,0.01834,0.02455,0.02058
1.00000,0.02508,0.01810,0.02455,0.02047
