lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02684,0.02682,0.02420,0.02420
0.10000,0.02684,0.02576,0.02420,0.02417
0.20000,0.02684,0.02495,0.02420,0.02398
0.30000,0.02684,0.02338,0.02420,0.02387
0.40000,0.02684,0.02262,0.02420,0.02383
0.50000,0.02684,0.02183,0.02420,0.02346
0.60000,0.02684,0.02078,0.02420,0.02341
0.70000,0.02684,0.02038,0.02420,0.02324
0.80000,0.02684,0.02033,0.02420,0.02304
0.90000,0.02684,0.02019,0.02420,0.02289
1.00000,0.02684,0.01989,0.02420,0.02280
