lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02508,0.02503,0.02455,0.02453
0.10000,0.02508,0.02481,0.02455,0.02444
0.20000,0.02508,0.02387,0.02455,0.02440
0.30000,0.02508,0.02317,0.02455,0.02376
0.40000,0.02508,0.02221,0.02455,0.02361
0.50000,0.02508,0.02123,0.02455,0.02337
0.60000,0.02508,0.02112,0.02455,0.02295
0.70000,0.02508,0.02072,0.02455,0.02262
0.80000,0.02508,0.02021,0.02455,0.02256
0.90000,0.02508,0.01974,0.02455,0.02247
1.00000,0.02508,0.01979,0.02455,0.02217
