lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01125,0.01122,0.01000,0.00996,0.01082,0.01079
0.10000,0.01125,0.01164,0.01000,0.01038,0.01082,0.01118
0.20000,0.01125,0.01198,0.01000,0.01080,0.01082,0.01158
0.30000,0.01125,0.01211,0.01000,0.01088,0.01082,0.01170
0.40000,0.01125,0.01244,0.01000,0.01123,0.01082,0.01203
0.50000,0.01125,0.01244,0.01000,0.01127,0.01082,0.01202
0.60000,0.01125,0.01252,0.01000,0.01119,0.01082,0.01195
0.70000,0.01125,0.01256,0.01000,0.01118,0.01082,0.01195
0.80000,0.01125,0.01251,0.01000,0.01119,0.01082,0.01195
0.90000,0.01125,0.01221,0.01000,0.01101,0.01082,0.01178
1.00000,0.01125,0.01201,0.01000,0.01079,0.01082,0.01159
