lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.00419,0.00419,0.00509,0.00509
0.10000,0.00419,0.00423,0.00509,0.00498
0.20000,0.00419,0.00309,0.00509,0.00456
0.30000,0.00419,0.00280,0.00509,0.00433
0.40000,0.00419,0.00365,0.00509,0.00381
0.50000,0.00419,0.00309,0.00509,0.00412
0.60000,0.00419,0.00309,0.00509,0.00390
0.70000,0.00419,0.00309,0.00509,0.00380
0.80000,0.00419,0.00367,0.00509,0.00368
0.90000,0.00419,0.00338,0.00509,0.00370
1.00000,0.00419,0.00367,0.00509,0.00358
