lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02508,0.02503,0.02455,0.02453
0.10000,0.02508,0.02537,0.02455,0.02467
0.20000,0.02508,0.02545,0.02455,0.02441
0.30000,0.02508,0.02465,0.02455,0.02399
0.40000,0.02508,0.02430,0.02455,0.02369
0.50000,0.02508,0.02358,0.02455,0.02374
0.60000,0.02508,0.02317,0.02455,0.02369
0.70000,0.02508,0.02296,0.02455,0.02340
0.80000,0.02508,0.02268,0.02455,0.02312
0.90000,0.02508,0.02259,0.02455,0.02300
1.00000,0.02508,0.02189,0.02455,0.02294
