lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01160,0.01160,0.01036,0.01036,0.01470,0.01470
0.10000,0.01160,0.01211,0.01036,0.01076,0.01470,0.01514
0.20000,0.01160,0.01229,0.01036,0.01102,0.01470,0.01533
0.30000,0.01160,0.01246,0.01036,0.01114,0.01470,0.01541
0.40000,0.01160,0.01230,0.01036,0.01106,0.01470,0.01532
0.50000,0.01160,0.01222,0.01036,0.01113,0.01470,0.01548
0.60000,0.01160,0.01196,0.01036,0.01097,0.01470,0.01535
0.70000,0.01160,0.01206,0.01036,0.01107,0.01470,0.01548
0.80000,0.01160,0.01196,0.01036,0.01098,0.01470,0.01543
0.90000,0.01160,0.01166,0.01036,0.01054,0.01470,0.01503
1.00000,0.01160,0.01065,0.01036,0.00989,0.01470,0.01436
