lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01125,0.01122,0.01000,0.00996,0.01415,0.01412
0.10000,0.01125,0.01085,0.01000,0.00986,0.01415,0.01398
0.20000,0.01125,0.01036,0.01000,0.00951,0.01415,0.01369
0.30000,0.01125,0.00966,0.01000,0.00901,0.01415,0.01326
0.40000,0.01125,0.00891,0.01000,0.00845,0.01415,0.01273
0.50000,0.01125,0.00823,0.01000,0.00797,0.01415,0.01227
0.60000,0.01125,0.00772,0.01000,0.00746,0.01415,0.01181
0.70000,0.01125,0.00703,0.01000,0.00672,0.01415,0.01117
0.80000,0.01125,0.00617,0.01000,0.00610,0.01415,0.01051
0.90000,0.01125,0.00573,0.01000,0.00563,0.01415,0.01004
1.00000,0.01125,0.00544,0.01000,0.00531,0.01415,0.00961
