lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01160,0.01160,0.01036,0.01036,0.01470,0.01470
0.10000,0.01160,0.01072,0.01036,0.00966,0.01470,0.01405
0.20000,0.01160,0.00957,0.01036,0.00890,0.01470,0.01333
0.30000,0.01160,0.00881,0.01036,0.00817,0.01470,0.01267
0.40000,0.01160,0.00796,0.01036,0.00750,0.01470,0.01199
0.50000,0.01160,0.00718,0.01036,0.00682,0.01470,0.01135
0.60000,0.01160,0.00668,0.01036,0.00617,0.01470,0.01077
0.70000,0.01160,0.00615,0.01036,0.00547,0.01470,0.01002
0.80000,0.01160,0.00559,0.01036,0.00480,0.01470,0.00926
0.90000,0.01160,0.00505,0.01036,0.00437,0.01470,0.00860
1.00000,0.01160,0.00442,0.01036,0.00386,0.01470,0.00793
