lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02508,0.02503,0.02455,0.02453
0.10000,0.02508,0.02537,0.02455,0.02467
0.20000,0.02508,0.02545,0.02455,0.02441
0.30000,0.02508,0.02465,0.02455,0.02399
0.40000,0.02508,0.02430,0.02455,0.02367
0.50000,0.02508,0.02358,0.02455,0.02368
0.60000,0.02508,0.02321,0.02455,0.02334
0.70000,0.02508,0.02301,0.02455,0.02285
0.80000,0.02508,0.02261,0.02455,0.02199
0.90000,0.02508,0.02064,0.02455,0.02100
1.00000,0.02508,0.01782,0.02455,0.01879
