lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.00121,0.00121,0.00192,0.00192,0.00318,0.00318
0.10000,0.00121,0.00085,0.00192,0.00186,0.00318,0.00311
0.20000,0.00121,0.00115,0.00192,0.00205,0.00318,0.00330
0.30000,0.00121,0.00104,0.00192,0.00200,0.00318,0.00331
0.40000,0.00121,0.00120,0.00192,0.00208,0.00318,0.00344
0.50000,0.00121,0.00169,0.00192,0.00227,0.00318,0.00359
0.60000,0.00121,0.00255,0.00192,0.00300,0.00318,0.00417
0.70000,0.00121,0.00294,0.00192,0.00322,0.00318,0.00438
0.80000,0.00121,0.00354,0.00192,0.00363,0.00318,0.00483
0.90000,0.00121,0.00336,0.00192,0.00324,0.00318,0.00448
1.00000,0.00121,0.00256,0.00192,0.00257,0.00318,0.00383
