lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02508,0.02503,0.02455,0.02453
0.10000,0.02508,0.02481,0.02455,0.02444
0.20000,0.02508,0.02387,0.02455,0.02438
0.30000,0.02508,0.02307,0.02455,0.02362
0.40000,0.02508,0.02178,0.02455,0.02305
0.50000,0.02508,0.02016,0.02455,0.02209
0.60000,0.02508,0.01908,0.02455,0.02055
0.70000,0.02508,0.01787,0.02455,0.01918
0.80000,0.02508,0.01649,0.02455,0.01799
0.90000,0.02508,0.01537,0.02455,0.01670
1.00000,0.02508,0.01499,0.02455,0.01603
