lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.00121,0.00121,0.00192,0.00192,0.00318,0.00318
0.10000,0.00121,0.00125,0.00192,0.00175,0.00318,0.00288
0.20000,0.00121,0.00111,0.00192,0.00133,0.00318,0.00252
0.30000,0.00121,0.00110,0.00192,0.00109,0.00318,0.00226
0.40000,0.00121,0.00133,0.00192,0.00095,0.00318,0.00206
0.50000,0.00121,0.00123,0.00192,0.00084,0.00318,0.00187
0.60000,0.00121,0.00107,0.00192,0.00073,0.00318,0.00171
0.70000,0.00121,0.00091,0.00192,0.00064,0.00318,0.00158
0.80000,0.00121,0.00082,0.00192,0.00067,0.00318,0.00157
0.90000,0.00121,0.00082,0.00192,0.00094,0.00318,0.00177
1.00000,0.00121,0.00210,0.00192,0.00204,0.00318,0.00298
