lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02508,0.02503,0.02455,0.02453
0.10000,0.02508,0.02430,0.02455,0.02432
0.20000,0.02508,0.02294,0.02455,0.02400
0.30000,0.02508,0.02163,0.02455,0.02313
0.40000,0.02508,0.02063,0.02455,0.02214
0.50000,0.02508,0.01944,0.02455,0.02067
0.60000,0.02508,0.01777,0.02455,0.01903
0.70000,0.02508,0.01660,0.02455,0.01764
0.80000,0.02508,0.01558,0.02455,0.01598
0.90000,0.02508,0.01419,0.02455,0.01503
1.00000,0.02508,0.01392,0.02455,0.01424
