lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02508,0.02503,0.02455,0.02453
0.10000,0.02508,0.02586,0.02455,0.02480
0.20000,0.02508,0.02633,0.02455,0.02503
0.30000,0.02508,0.02641,0.02455,0.02466
0.40000,0.02508,0.02601,0.02455,0.02493
0.50000,0.02508,0.02614,0.02455,0.02516
0.60000,0.02508,0.02664,0.02455,0.02509
0.70000,0.02508,0.02650,0.02455,0.02535
0.80000,0.02508,0.02656,0.02455,0.02511
0.90000,0.02508,0.02581,0.02455,0.02474
1.00000,0.02508,0.02374,0.02455,0.02307
