lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02684,0.02682,0.02420,0.02420
0.10000,0.02684,0.02576,0.02420,0.02417
0.20000,0.02684,0.02495,0.02420,0.02396
0.30000,0.02684,0.02327,0.02420,0.02367
0.40000,0.02684,0.02183,0.02420,0.02328
0.50000,0.02684,0.02027,0.02420,0.02187
0.60000,0.02684,0.01865,0.02420,0.02036
0.70000,0.02684,0.01833,0.02420,0.01902
0.80000,0.02684,0.01754,0.02420,0.01713
0.90000,0.02684,0.01621,0.02420,0.01640
1.00000,0.02684,0.01524,0.02420,0.01596
