lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.00121,0.00121,0.00192,0.00192,0.00318,0.00318
0.10000,0.00121,0.00176,0.00192,0.00266,0.00318,0.00391
0.20000,0.00121,0.00276,0.00192,0.00377,0.00318,0.00500
0.30000,0.00121,0.00322,0.00192,0.00427,0.00318,0.00557
0.40000,0.00121,0.00402,0.00192,0.00497,0.00318,0.00619
0.50000,0.00121,0.00556,0.00192,0.00663,0.00318,0.00773
0.60000,0.00121,0.00721,0.00192,0.00782,0.00318,0.00893
0.70000,0.00121,0.00979,0.00192,0.01004,0.00318,0.01120
0.80000,0.00121,0.01310,0.00192,0.01329,0.00318,0.01443
0.90000,0.00121,0.01409,0.00192,0.01456,0.00318,0.01558
1.00000,0.00121,0.01276,0.00192,0.01313,0.00318,0.01406
