lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01125,0.01122,0.01000,0.00996,0.01415,0.01412
0.10000,0.01125,0.01113,0.01000,0.00990,0.01415,0.01406
0.20000,0.01125,0.01077,0.01000,0.00937,0.01415,0.01360
0.30000,0.01125,0.01050,0.01000,0.00906,0.01415,0.01332
0.40000,0.01125,0.01003,0.01000,0.00861,0.01415,0.01287
0.50000,0.01125,0.00981,0.01000,0.00853,0.01415,0.01268
0.60000,0.01125,0.00974,0.01000,0.00846,0.01415,0.01258
0.70000,0.01125,0.00959,0.01000,0.00834,0.01415,0.01238
0.80000,0.01125,0.00938,0.01000,0.00806,0.01415,0.01209
0.90000,0.01125,0.00874,0.01000,0.00741,0.01415,0.01132
1.00000,0.01125,0.00715,0.01000,0.00608,0.01415,0.01010
