lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.00419,0.00419,0.00509,0.00509
0.10000,0.00419,0.00388,0.00509,0.00566
0.20000,0.00419,0.00330,0.00509,0.00575
0.30000,0.00419,0.00388,0.00509,0.00563
0.40000,0.00419,0.00505,0.00509,0.00551
0.50000,0.00419,0.00540,0.00509,0.00599
0.60000,0.00419,0.00658,0.00509,0.00666
0.70000,0.00419,0.00685,0.00509,0.00670
0.80000,0.00419,0.00851,0.00509,0.00687
0.90000,0.00419,0.00907,0.00509,0.00651
1.00000,0.00419,0.00961,0.00509,0.00658
