lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01160,0.01160,0.01036,0.01036,0.01276,0.01277
0.10000,0.01160,0.01072,0.01036,0.00966,0.01276,0.01213
0.20000,0.01160,0.00957,0.01036,0.00890,0.01276,0.01142
0.30000,0.01160,0.00881,0.01036,0.00817,0.01276,0.01078
0.40000,0.01160,0.00796,0.01036,0.00750,0.01276,0.01013
0.50000,0.01160,0.00718,0.01036,0.00685,0.01276,0.00956
0.60000,0.01160,0.00678,0.01036,0.00631,0.01276,0.00915
0.70000,0.01160,0.00640,0.01036,0.00584,0.01276,0.00870
0.80000,0.01160,0.00617,0.01036,0.00554,0.01276,0.00844
0.90000,0.01160,0.00588,0.01036,0.00527,0.01276,0.00817
1.00000,0.01160,0.00568,0.01036,0.00501,0.01276,0.00789
