lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.00419,0.00419,0.00509,0.00509
0.10000,0.00419,0.00423,0.00509,0.00498
0.20000,0.00419,0.00309,0.00509,0.00456
0.30000,0.00419,0.00280,0.00509,0.00425
0.40000,0.00419,0.00311,0.00509,0.00384
0.50000,0.00419,0.00309,0.00509,0.00354
0.60000,0.00419,0.00309,0.00509,0.00331
0.70000,0.00419,0.00281,0.00509,0.00307
0.80000,0.00419,0.00310,0.00509,0.00304
0.90000,0.00419,0.00223,0.00509,0.00305
1.00000,0.00419,0.00194,0.00509,0.00316
