lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.00121,0.00121,0.00192,0.00192,0.00270,0.00270
0.10000,0.00121,0.00216,0.00192,0.00259,0.00270,0.00329
0.20000,0.00121,0.00277,0.00192,0.00307,0.00270,0.00376
0.30000,0.00121,0.00350,0.00192,0.00375,0.00270,0.00446
0.40000,0.00121,0.00389,0.00192,0.00406,0.00270,0.00466
0.50000,0.00121,0.00400,0.00192,0.00399,0.00270,0.00472
0.60000,0.00121,0.00316,0.00192,0.00343,0.00270,0.00402
0.70000,0.00121,0.00311,0.00192,0.00332,0.00270,0.00395
0.80000,0.00121,0.00294,0.00192,0.00317,0.00270,0.00387
0.90000,0.00121,0.00301,0.00192,0.00324,0.00270,0.00386
1.00000,0.00121,0.00279,0.00192,0.00324,0.00270,0.00388
