lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.00419,0.00419,0.00509,0.00509
0.10000,0.00419,0.00447,0.00509,0.00600
0.20000,0.00419,0.00467,0.00509,0.00689
0.30000,0.00419,0.00581,0.00509,0.00688
0.40000,0.00419,0.00729,0.00509,0.00800
0.50000,0.00419,0.00786,0.00509,0.00845
0.60000,0.00419,0.00960,0.00509,0.00905
0.70000,0.00419,0.01273,0.00509,0.00972
0.80000,0.00419,0.01395,0.00509,0.01032
0.90000,0.00419,0.01529,0.00509,0.00998
1.00000,0.00419,0.01359,0.00509,0.01019
