lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01160,0.01160,0.01036,0.01036,0.01276,0.01277
0.10000,0.01160,0.01143,0.01036,0.01013,0.01276,0.01254
0.20000,0.01160,0.01116,0.01036,0.01001,0.01276,0.01243
0.30000,0.01160,0.01079,0.01036,0.00969,0.01276,0.01217
0.40000,0.01160,0.01067,0.01036,0.00955,0.01276,0.01202
0.50000,0.01160,0.01036,0.01036,0.00921,0.01276,0.01169
0.60000,0.01160,0.01036,0.01036,0.00923,0.01276,0.01171
0.70000,0.01160,0.01008,0.01036,0.00882,0.01276,0.01137
0.80000,0.01160,0.00997,0.01036,0.00868,0.01276,0.01129
0.90000,0.01160,0.00985,0.01036,0.00856,0.01276,0.01118
1.00000,0.01160,0.00896,0.01036,0.00770,0.01276,0.01036
