lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02508,0.02503,0.02455,0.02453
0.10000,0.02508,0.02481,0.02455,0.02444
0.20000,0.02508,0.02387,0.02455,0.02438
0.30000,0.02508,0.02307,0.02455,0.02362
0.40000,0.02508,0.02178,0.02455,0.02306
0.50000,0.02508,0.02023,0.02455,0.02232
0.60000,0.02508,0.01940,0.02455,0.02137
0.70000,0.02508,0.01852,0.02455,0.02061
0.80000,0.02508,0.01808,0.02455,0.02001
0.90000,0.02508,0.01779,0.02455,0.01947
1.00000,0.02508,0.01767,0.02455,0.01911
