lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02684,0.02682,0.02420,0.02420
0.10000,0.02684,0.02552,0.02420,0.02400
0.20000,0.02684,0.02355,0.02420,0.02365
0.30000,0.02684,0.02238,0.02420,0.02304
0.40000,0.02684,0.02024,0.02420,0.02238
0.50000,0.02684,0.01847,0.02420,0.02106
0.60000,0.02684,0.01761,0.02420,0.01968
0.70000,0.02684,0.01728,0.02420,0.01870
0.80000,0.02684,0.01682,0.02420,0.01783
0.90000,0.02684,0.01618,0.02420,0.01718
1.00000,0.02684,0.01602,0.02420,0.01686
