lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.00419,0.00419,0.00509,0.00509
0.10000,0.00419,0.00485,0.00509,0.00510
0.20000,0.00419,0.00424,0.00509,0.00520
0.30000,0.00419,0.00480,0.00509,0.00526
0.40000,0.00419,0.00478,0.00509,0.00510
0.50000,0.00419,0.00506,0.00509,0.00534
0.60000,0.00419,0.00506,0.00509,0.00546
0.70000,0.00419,0.00507,0.00509,0.00520
0.80000,0.00419,0.00536,0.00509,0.00496
0.90000,0.00419,0.00479,0.00509,0.00508
1.00000,0.00419,0.00479,0.00509,0.00485
