lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.00121,0.00121,0.00192,0.00192,0.00270,0.00270
0.10000,0.00121,0.00176,0.00192,0.00266,0.00270,0.00341
0.20000,0.00121,0.00276,0.00192,0.00377,0.00270,0.00449
0.30000,0.00121,0.00322,0.00192,0.00427,0.00270,0.00505
0.40000,0.00121,0.00402,0.00192,0.00497,0.00270,0.00564
0.50000,0.00121,0.00556,0.00192,0.00663,0.00270,0.00714
0.60000,0.00121,0.00721,0.00192,0.00779,0.00270,0.00825
0.70000,0.00121,0.00979,0.00192,0.00990,0.00270,0.01037
0.80000,0.00121,0.01290,0.00192,0.01305,0.00270,0.01330
0.90000,0.00121,0.01384,0.00192,0.01374,0.00270,0.01401
1.00000,0.00121,0.01458,0.00192,0.01466,0.00270,0.01487
