lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02684,0.02682,0.02420,0.02420
0.10000,0.02684,0.02700,0.02420,0.02443
0.20000,0.02684,0.02614,0.02420,0.02439
0.30000,0.02684,0.02517,0.02420,0.02413
0.40000,0.02684,0.02491,0.02420,0.02409
0.50000,0.02684,0.02484,0.02420,0.02382
0.60000,0.02684,0.02470,0.02420,0.02387
0.70000,0.02684,0.02463,0.02420,0.02313
0.80000,0.02684,0.02361,0.02420,0.02249
0.90000,0.02684,0.02287,0.02420,0.02206
1.00000,0.02684,0.02191,0.02420,0.02144
