200
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,p64,p65,p66,p67,p68,p69,p70,p71,p72,p73,p74,p75,p76,p77,p78,p79,p80,p81,p82,p83,p84,p85,p86,p87,p88,p89,p90,p91,p92,p93,p94,p95,p96,p97,p98,p99,p100,p101,p102,p103,p104,p105,p106,p107,p108,p109,p110,p111,p112,p113,p114,p115,p116,p117,p118,p119,p120,p121,p122,p123,p124,p125,p126,p127,p128,p129,p130,p131,p132,p133,p134,p135,p136,p137,p138,p139,p140,p141,p142,p143,p144,p145,p146,p147,p148,p149,p150,p151,p152,p153,p154,p155,p156,p157,p158,p159,p160,p161,p162,p163,p164,p165,p166,p167,p168,p169,p170,p171,p172,p173,p174,p175,p176,p177,p178,p179,p180,p181,p182,p183,p184,p185,p186,p187,p188,p189,p190,p191,p192,p193,p194,p195,p196,p197,p198,p199,p200
52,222;3687;2052;344;6246;2584;74;3433;1755;1365;621;4117;3088;168;6134;1533,daytime:morning,1131;200,923;199,726;198,2699;197,6549;196,5584;195,1688;194,5241;193,1227;192,3679;191,3575;190,703;189,1727;188,4071;187,1139;186,5032;185,4467;184,1269;183,1219;182,3419;181,657;180,2678;179,270;178,799;177,368;176,1477;175,1136;174,4807;173,6636;172,51;171,2243;170,3767;169,3322;168,2064;167,4742;166,2595;165,1703;164,5176;163,420;162,344;161,3417;160,5688;159,1976;158,1450;157,4091;156,399;155,2655;154,54;153,6831;152,6590;151,3169;150,3423;149,1403;148,3926;147,492;146,441;145,252;144,587;143,2652;142,5457;141,1102;140,2279;139,4722;138,3569;137,2564;136,5040;135,1693;134,3433;133,2430;132,4500;131,6059;130,5054;129,2406;128,4276;127,2560;126,3736;125,2151;124,5037;123,3402;122,2684;121,2735;120,4462;119,2986;118,5474;117,932;116,1618;115,940;114,4843;113,3240;112,1363;111,278;110,4784;109,6822;108,1756;107,5973;106,5694;105,3360;104,4183;103,1795;102,2821;101,5232;100,4711;99,2932;98,4677;97,2078;96,386;95,2379;94,5027;93,66;92,2385;91,2478;90,5070;89,4979;88,3202;87,3088;86,2298;85,3653;84,6030;83,6133;82,1744;81,2796;80,4970;79,5527;78,3917;77,336;76,1395;75,516;74,2193;73,6280;72,1001;71,6158;70,5759;69,3189;68,918;67,3277;66,2511;65,27;64,849;63,1522;62,664;61,1037;60,5854;59,3757;58,3136;57,4405;56,2051;55,3455;54,4097;53,4323;52,2923;51,2867;50,4880;49,1497;48,1755;47,4483;46,6353;45,698;44,2946;43,3838;42,636;41,3591;40,2041;39,3513;38,2063;37,6506;36,2265;35,5314;34,2101;33,6502;32,591;31,5554;30,4638;29,4919;28,129;27,1697;26,1879;25,1877;24,2807;23,4945;22,2129;21,3015;20,3378;19,1206;18,2128;17,2601;16,3488;15,3542;14,986;13,2650;12,1250;11,348;10,4063;9,3478;8,4819;7,6134;6,1024;5,2125;4,2142;3,4551;2,2591;1
52,4167;3523;5466;3103;1169;2894;872;75;900;4585;2430;5584;2505,daytime:evening,1131;200,923;199,726;198,2699;197,6549;196,5584;195,1688;194,5241;193,1227;192,3679;191,3575;190,1727;189,4071;188,4467;187,1269;186,1219;185,657;184,2678;183,270;182,799;181,368;180,1477;179,1136;178,4807;177,6636;176,51;175,2243;174,3767;173,3322;172,2064;171,4742;170,2595;169,1703;168,5176;167,344;166,3417;165,5688;164,1976;163,1450;162,4091;161,2655;160,54;159,6831;158,6590;157,3169;156,3423;155,1403;154,3926;153,492;152,441;151,252;150,587;149,2652;148,1102;147,2279;146,5483;145,4722;144,2564;143,5040;142,1693;141,3433;140,2430;139,4500;138,6059;137,3698;136,4282;135,5054;134,2406;133,4276;132,2560;131,3736;130,2151;129,5037;128,3402;127,2684;126,2735;125,4462;124,2986;123,5474;122,932;121,1618;120,940;119,4843;118,3240;117,1363;116,278;115,6822;114,1756;113,5973;112,5694;111,3360;110,4183;109,1795;108,2821;107,5232;106,4711;105,2932;104,4677;103,2078;102,386;101,2379;100,5027;99,66;98,2385;97,2478;96,2528;95,5070;94,4979;93,3202;92,3088;91,2298;90,3653;89,6030;88,6133;87,1744;86,2796;85,5527;84,3917;83,336;82,1395;81,516;80,6280;79,1001;78,6158;77,5759;76,3189;75,918;74,3277;73,2511;72,849;71,1522;70,664;69,1037;68,5854;67,3757;66,3136;65,4405;64,2051;63,3455;62,4097;61,4323;60,2923;59,2867;58,4880;57,1497;56,1755;55,4483;54,6353;53,698;52,2946;51,3838;50,636;49,3591;48,6328;47,2041;46,3513;45,2063;44,6506;43,2265;42,5314;41,6502;40,591;39,5554;38,4638;37,4919;36,129;35,1697;34,2574;33,1879;32,293;31,2807;30,4945;29,2129;28,3015;27,3378;26,1206;25,2128;24,2601;23,3488;22,3542;21,986;20,2650;19,1250;18,4063;17,3478;16,4819;15,6134;14,1024;13,2125;12,2142;11,992;10,4551;9,2591;8,3852;7,4102;6,854;5,5995;4,3660;3,1988;2,1196;1
52,3224;924;2063;4323;5395;5004;382;1920,daytime:afternoon,1131;200,923;199,726;198,2699;197,6549;196,5584;195,1688;194,5241;193,1227;192,3679;191,3575;190,703;189,1727;188,4071;187,1139;186,5032;185,1269;184,1219;183,3419;182,657;181,270;180,1477;179,1136;178,6636;177,51;176,2243;175,3322;174,2064;173,4742;172,2595;171,1703;170,5176;169,420;168,344;167,3417;166,5688;165,1976;164,1450;163,4091;162,399;161,54;160,6831;159,6590;158,3169;157,3423;156,1403;155,3926;154,492;153,441;152,252;151,587;150,2652;149,5457;148,1102;147,2279;146,5483;145,4722;144,3569;143,2564;142,5040;141,1693;140,3433;139,2430;138,4500;137,6059;136,3698;135,4282;134,5054;133,2406;132,4276;131,2560;130,3736;129,2151;128,5037;127,3402;126,2684;125,2735;124,4462;123,2986;122,5474;121,932;120,1618;119,940;118,4843;117,3240;116,1363;115,278;114,4784;113,6822;112,1756;111,5973;110,3360;109,4183;108,1795;107,2821;106,5232;105,4711;104,2932;103,4677;102,2078;101,386;100,2379;99,5027;98,66;97,2385;96,2478;95,2528;94,5070;93,4979;92,3088;91,2298;90,3653;89,6030;88,6133;87,1744;86,2796;85,4970;84,5527;83,3917;82,336;81,1395;80,516;79,2193;78,6280;77,1001;76,6158;75,5759;74,3189;73,918;72,3277;71,27;70,849;69,1522;68,664;67,1037;66,5854;65,3757;64,3136;63,4405;62,2051;61,3455;60,4097;59,4323;58,2923;57,2867;56,4880;55,1497;54,1755;53,4483;52,6353;51,698;50,2946;49,3838;48,636;47,3591;46,6328;45,2041;44,3513;43,2063;42,6506;41,2265;40,5314;39,2101;38,6502;37,591;36,4638;35,4919;34,129;33,1697;32,2574;31,1879;30,1877;29,293;28,2807;27,4945;26,2129;25,3015;24,3378;23,1206;22,2128;21,2601;20,3488;19,3542;18,986;17,2650;16,1250;15,348;14,3478;13,4819;12,6134;11,1024;10,2125;9,2142;8,992;7,4551;6,2591;5,3852;4,4102;3,854;2,5995;1
20,4165;4763;1647;4206;5504;6098;2010;5733;7027;5192;3575;3731;2233;2770;5640;467;5011;3831;1597;1771;4918;3206;4957;3803;6140;3790;3042;269;588;211;6313;2019;3302;4852;2614;6259;183;6289;1052;239;2574;4631;293;423;1180;5119;4207;1135;2178;6894;5408;1760;1982;4931;6334;6219;5131;4929;2166;4683;6323;2270;3113;2281;4491;1013,daytime:morning,2894;200,3620;199,386;198,1936;197,5973;196,3770;195,2859;194,1960;193,5741;192,7143;191,3975;190,4854;189,252;188,2792;187,84;186,1457;185,136;184,2451;183,545;182,456;181,6091;180,3561;179,173;178,974;177,5730;176,3417;175,905;174,3255;173,270;172,339;171,632;170,406;169,1136;168,95;167,3445;166,629;165,1879;164,2934;163,2338;162,232;161,1004;160,1131;159,607;158,1645;157,184;156,447;155,6312;154,1335;153,679;152,83;151,2124;150,2713;149,420;148,3943;147,2512;146,4418;145,312;144,1940;143,6141;142,1862;141,54;140,2938;139,3388;138,2510;137,1158;136,1012;135,4567;134,6545;133,1148;132,457;131,327;130,7036;129,277;128,4641;127,2604;126,27;125,1455;124,4404;123,2817;122,742;121,1911;120,1236;119,191;118,2477;117,1567;116,3900;115,2562;114,4830;113,467;112,2759;111,1725;110,2708;109,2425;108,1550;107,5284;106,1569;105,2160;104,4817;103,1948;102,96;101,3484;100,4903;99,3031;98,1413;97,3753;96,4696;95,4465;94,3004;93,4852;92,1877;91,552;90,1477;89,3317;88,563;87,1427;86,2772;85,8;84,6391;83,785;82,3028;81,4616;80,6026;79,2471;78,6639;77,4636;76,409;75,6259;74,63;73,207;72,3069;71,2832;70,3331;69,891;68,60;67,241;66,3579;65,1510;64,2349;63,5523;62,516;61,3;60,1463;59,6838;58,1734;57,222;56,919;55,4389;54,1923;53,281;52,1710;51,2652;50,2147;49,1057;48,2932;47,2151;46,5520;45,6104;44,3101;43,3587;42,757;41,53;40,5415;39,6250;38,1854;37,390;36,164;35,5358;34,3886;33,3799;32,2596;31,2703;30,799;29,3588;28,269;27,4115;26,5770;25,4583;24,889;23,1225;22,2143;21,3701;20,1222;19,1014;18,4846;17,141;16,7023;15,6182;14,3088;13,255;12,426;11,1843;10,137;9,2183;8,975;7,2401;6,1490;5,621;4,2913;3,2406;2,6675;1
20,2665;6517;6199;6797;4462;1099;642;311;3625;5139;2895;3337;4820;3708;5961;4098;1474;1341;5115;2630;6571;3724;1567;6203;1155;4452;6020;95;5268;3417;6321;4187;691;1463;616;5407;2512;4801;2124;4085;5686;1759;5973;6190;3586;5665;4457;4740;1610;5189;3105;4632;6207;6102;5729;4612,daytime:evening,386;200,2836;199,3892;198,604;197,5973;196,1102;195,2859;194,1960;193,5741;192,7143;191,86;190,112;189,3975;188,4854;187,3953;186,252;185,2792;184,84;183,1457;182,136;181,2451;180,5013;179,456;178,6091;177,7100;176,3561;175,2649;174,173;173,974;172,5730;171,3417;170,905;169,250;168,270;167,339;166,632;165,1136;164,95;163,629;162,2934;161,2338;160,232;159,1004;158,607;157,1645;156,184;155,447;154,6312;153,1335;152,679;151,83;150,1613;149,2124;148,420;147,1831;146,3943;145,2512;144,312;143,1940;142,2880;141,6141;140,1862;139,1935;138,54;137,1221;136,2938;135,3388;134,4487;133,2510;132,1158;131,1012;130,4567;129,6789;128,5515;127,6545;126,1148;125,457;124,327;123,7036;122,277;121,1455;120,4404;119,4917;118,742;117,3883;116,1236;115,191;114,3321;113,2477;112,1955;111,1165;110,1567;109,3900;108,2562;107,4830;106,467;105,2759;104,2708;103,353;102,1550;101,5284;100,1569;99,2160;98,1948;97,3806;96,4925;95,96;94,3484;93,4903;92,3031;91,1413;90,3753;89,4696;88,4465;87,3004;86,4852;85,1877;84,552;83,1477;82,3317;81,563;80,1427;79,2772;78,8;77,6391;76,785;75,3028;74,4616;73,6026;72,2471;71,6639;70,4636;69,409;68,6259;67,63;66,207;65,3069;64,2832;63,3331;62,891;61,60;60,241;59,3579;58,1510;57,4685;56,2349;55,5523;54,516;53,3;52,1463;51,6838;50,1734;49,919;48,4389;47,1923;46,281;45,1710;44,2652;43,2147;42,1057;41,2932;40,29;39,2151;38,5520;37,6104;36,3101;35,3587;34,757;33,53;32,5415;31,6250;30,1854;29,390;28,164;27,5358;26,3799;25,2596;24,2703;23,799;22,269;21,4115;20,5770;19,4583;18,889;17,1225;16,1222;15,1014;14,4846;13,2858;12,141;11,7023;10,6182;9,3088;8,255;7,426;6,1843;5,137;4,2401;3,1490;2,621;1
20,6125;5315;5910;5416;420;1136;2543;2746;2808;3634;3458;5243;3177;1496;2814;7145;1709;3975;2993;2860;168;6685;5412;5935;2797;1172;4062;4565;2015;4560;2163;2688;451;3484;6027;7073;3291;955;290;6542;4284,daytime:night,2894;200,3620;199,386;198,2836;197,3892;196,604;195,1936;194,5973;193,3770;192,1102;191,2859;190,1960;189,5741;188,7143;187,86;186,112;185,3975;184,4854;183,3953;182,252;181,2792;180,84;179,1457;178,136;177,2451;176,5013;175,545;174,456;173,6091;172,7100;171,3561;170,2649;169,173;168,974;167,5730;166,3417;165,905;164,250;163,3255;162,339;161,632;160,406;159,1136;158,95;157,3445;156,629;155,1879;154,2934;153,232;152,1004;151,1131;150,607;149,1645;148,184;147,447;146,1335;145,83;144,1613;143,2124;142,2713;141,420;140,1831;139,3943;138,2512;137,4418;136,312;135,1940;134,2880;133,6141;132,1935;131,54;130,1221;129,2938;128,3388;127,4487;126,1158;125,1012;124,4567;123,6789;122,5515;121,6545;120,457;119,327;118,7036;117,277;116,4641;115,2604;114,27;113,1455;112,4404;111,2817;110,4917;109,1911;108,3883;107,1236;106,191;105,3321;104,2477;103,1955;102,1165;101,1567;100,3900;99,2562;98,4830;97,467;96,2759;95,1725;94,2708;93,2425;92,353;91,1550;90,5284;89,2160;88,4817;87,1948;86,3806;85,4925;84,96;83,3484;82,4903;81,3031;80,1413;79,3753;78,4465;77,3004;76,4852;75,1877;74,552;73,1477;72,3317;71,563;70,1427;69,2772;68,8;67,6391;66,3028;65,4616;64,6026;63,2471;62,6639;61,4636;60,409;59,6259;58,63;57,207;56,2832;55,3331;54,891;53,60;52,241;51,3579;50,4685;49,2349;48,5523;47,516;46,3;45,1463;44,6838;43,1734;42,222;41,919;40,4389;39,1923;38,281;37,1710;36,2147;35,1057;34,2932;33,29;32,2151;31,5520;30,6104;29,3101;28,3587;27,757;26,53;25,5415;24,6250;23,1854;22,164;21,5358;20,3886;19,3799;18,2596;17,2703;16,799;15,3588;14,269;13,4115;12,5770;11,4583;10,889;9,1225;8,2143;7,3701;6,1222;5,1014;4,4846;3,2858;2,141;1
20,3180;5254;4138;504;1953;3165;5316;4007;4469;478;4049;1207;2126;3643;2550;2102;3579;61;4168;5472;2464;6384;3897;5061;6051;4425;635;4309;4237;4694;5807;5086;4300;6250;5488;974;365;4137;471;1917;2349;6233;2916;352;3405;3409;63;174;5621;6520;6613;629;4998;810;6173;4854;4556;4976;3891;3152,daytime:afternoon,2894;200,3620;199,386;198,2836;197,3892;196,604;195,1936;194,5973;193,3770;192,1102;191,2859;190,1960;189,5741;188,7143;187,86;186,112;185,3975;184,4854;183,3953;182,252;181,2792;180,84;179,1457;178,136;177,5013;176,545;175,6091;174,7100;173,3561;172,2649;171,173;170,974;169,5730;168,3417;167,905;166,250;165,3255;164,270;163,339;162,632;161,406;160,1136;159,95;158,3445;157,629;156,1879;155,2934;154,2338;153,232;152,1131;151,607;150,1645;149,184;148,447;147,6312;146,1335;145,679;144,83;143,1613;142,2124;141,2713;140,420;139,1831;138,3943;137,2512;136,4418;135,312;134,1940;133,2880;132,6141;131,1862;130,1935;129,54;128,1221;127,2938;126,4487;125,2510;124,1158;123,6789;122,5515;121,6545;120,1148;119,457;118,327;117,7036;116,277;115,4641;114,2604;113,27;112,1455;111,4404;110,2817;109,4917;108,742;107,1911;106,3883;105,1236;104,191;103,3321;102,2477;101,1955;100,1165;99,1567;98,3900;97,2562;96,4830;95,467;94,1725;93,2425;92,353;91,5284;90,1569;89,2160;88,4817;87,3806;86,4925;85,96;84,3484;83,4903;82,1413;81,4696;80,4465;79,3004;78,4852;77,1877;76,552;75,1477;74,563;73,1427;72,2772;71,8;70,6391;69,785;68,4616;67,6026;66,2471;65,6639;64,4636;63,409;62,6259;61,63;60,207;59,3069;58,3331;57,891;56,60;55,3579;54,1510;53,4685;52,2349;51,516;50,3;49,1463;48,6838;47,222;46,919;45,4389;44,1923;43,281;42,2652;41,1057;40,2932;39,29;38,2151;37,5520;36,6104;35,3101;34,3587;33,757;32,53;31,5415;30,6250;29,1854;28,390;27,164;26,5358;25,3886;24,3799;23,2703;22,799;21,3588;20,269;19,4115;18,4583;17,889;16,1225;15,2143;14,3701;13,1222;12,1014;11,4846;10,2858;9,141;8,7023;7,6182;6,426;5,1843;4,2183;3,975;2,2401;1
323,1917;5325;4432;223;5319;1514;2154;1405;4104;241;4314;5281;191;2149;1015;486;2085;1563;4527;4005;1126;3415;3897;2059;3341;2781;2501;1923;381;1634;1789;284;670;23;3540;2623;4751;213;3920;6310;3238;6049;593;5966,daytime:morning,95;200,270;199,3620;198,184;197,60;196,1131;195,6141;194,742;193,406;192,2372;191,7143;190,232;189,2894;188,86;187,457;186,960;185,1645;184,339;183,646;182,54;181,136;180,14;179,456;178,1240;177,785;176,3;175,1102;174,604;173,2268;172,6545;171,189;170,2650;169,905;168,1749;167,1883;166,284;165,3770;164,128;163,45;162,2124;161,1158;160,277;159,63;158,1166;157,168;156,222;155,2859;154,214;153,1365;152,1862;151,1148;150,679;149,458;148,3561;147,1948;146,3028;145,1349;144,5973;143,1550;142,2338;141,241;140,1868;139,6675;138,740;137,3601;136,3521;135,516;134,3255;133,3943;132,3575;131,7;130,1014;129,919;128,430;127,797;126,2583;125,942;124,1936;123,1097;122,69;121,1276;120,680;119,6312;118,545;117,1685;116,291;115,2168;114,312;113,218;112,1939;111,1960;110,131;109,703;108,2946;107,5757;106,148;105,2558;104,386;103,811;102,2164;101,181;100,5481;99,1236;98,3359;97,6091;96,6666;95,3238;94,4903;93,975;92,4048;91,632;90,3596;89,8;88,432;87,141;86,420;85,104;84,2143;83,2031;82,3101;81,607;80,3664;79,56;78,3891;77,841;76,333;75,209;74,1477;73,3900;72,563;71,6134;70,2349;69,1951;68,1786;67,5730;66,1226;65,71;64,2477;63,981;62,447;61,713;60,3338;59,3417;58,4404;57,3008;56,1879;55,3774;54,6259;53,267;52,1789;51,3975;50,6801;49,402;48,303;47,4715;46,2836;45,2430;44,257;43,5712;42,6387;41,2471;40,1275;39,2832;38,932;37,179;36,3321;35,832;34,6250;33,6036;32,956;31,3353;30,2053;29,4301;28,198;27,7036;26,2490;25,1814;24,1895;23,399;22,2588;21,6838;20,1765;19,4764;18,2550;17,1877;16,271;15,1165;14,600;13,2082;12,4741;11,2231;10,3283;9,3595;8,4636;7,2063;6,2630;5,725;4,4369;3,3701;2,2940;1
323,3601;1734;565;1971;1233;2927;942;797;6675;931;2124;2803;1797;222;6095;740;2778;1097;3111;2263;6043;1847;5501;235;1540;2112;1711;4302;5442,daytime:evening,95;200,974;199,270;198,3620;197,184;196,742;195,406;194,2372;193,7143;192,84;191,232;190,2894;189,457;188,173;187,960;186,1645;185,1057;184,353;183,54;182,136;181,14;180,456;179,1240;178,785;177,3;176,1102;175,2268;174,6545;173,189;172,2650;171,905;170,250;169,1749;168,1883;167,1335;166,284;165,1196;164,3770;163,128;162,45;161,2124;160,1158;159,277;158,63;157,1166;156,168;155,222;154,2859;153,214;152,1365;151,1862;150,1148;149,679;148,458;147,27;146,3561;145,1948;144,3028;143,1349;142,5973;141,2338;140,241;139,1868;138,6675;137,740;136,3601;135,1725;134,3521;133,516;132,3255;131,3575;130,7;129,1014;128,102;127,919;126,430;125,797;124,2583;123,657;122,942;121,1097;120,69;119,1276;118,680;117,6312;116,545;115,1685;114,291;113,2168;112,312;111,218;110,1939;109,1960;108,131;107,703;106,2946;105,5757;104,148;103,1417;102,2558;101,386;100,811;99,2164;98,181;97,107;96,1236;95,3359;94,6091;93,6666;92,3238;91,4903;90,975;89,4048;88,632;87,3596;86,195;85,280;84,8;83,432;82,141;81,420;80,104;79,2143;78,2031;77,3101;76,607;75,56;74,3891;73,841;72,333;71,209;70,1477;69,563;68,6134;67,2349;66,1951;65,5730;64,366;63,1226;62,71;61,2477;60,981;59,447;58,713;57,3338;56,3417;55,4404;54,3008;53,1879;52,3774;51,6259;50,178;49,267;48,2604;47,1789;46,3975;45,6801;44,402;43,303;42,4715;41,2836;40,3069;39,2430;38,257;37,5712;36,5100;35,6387;34,2471;33,1275;32,2832;31,932;30,179;29,3321;28,832;27,6250;26,6036;25,956;24,3353;23,2053;22,4301;21,198;20,7036;19,2490;18,1814;17,1895;16,660;15,399;14,2588;13,6838;12,1765;11,4764;10,2550;9,1877;8,271;7,1165;6,600;5,2082;4,4741;3,2231;2,3283;1
323,5057;2256;1851;1203;3;2209;352;3334;2295;2008;1899;423;270;4442;2842;5849;4228;2986;2425;4218;3401;2173;4685;388;6411;2168,daytime:night,95;200,974;199,270;198,3620;197,184;196,60;195,1131;194,6141;193,406;192,2372;191,7143;190,84;189,2894;188,86;187,457;186,173;185,960;184,1645;183,1057;182,339;181,353;180,646;179,136;178,14;177,456;176,3;175,1102;174,604;173,2268;172,6545;171,189;170,2650;169,905;168,250;167,1883;166,1335;165,284;164,1196;163,3770;162,45;161,2124;160,1158;159,63;158,1166;157,168;156,222;155,2859;154,1365;153,1862;152,1148;151,679;150,458;149,27;148,3561;147,1948;146,1349;145,1550;144,2338;143,241;142,1868;141,6675;140,740;139,3601;138,1725;137,3521;136,516;135,3255;134,3943;133,3575;132,7;131,102;130,919;129,430;128,797;127,2583;126,657;125,942;124,1936;123,1097;122,69;121,680;120,6312;119,545;118,1685;117,291;116,2168;115,312;114,218;113,1939;112,1960;111,131;110,703;109,2946;108,5757;107,148;106,1417;105,2558;104,386;103,811;102,181;101,5481;100,107;99,1236;98,3359;97,6091;96,6666;95,3238;94,4903;93,975;92,4048;91,632;90,3596;89,195;88,280;87,141;86,420;85,104;84,2143;83,3101;82,607;81,3664;80,56;79,3891;78,333;77,209;76,1477;75,3900;74,563;73,6134;72,2349;71,1951;70,1786;69,5730;68,366;67,1226;66,71;65,2477;64,713;63,3338;62,3417;61,4404;60,3008;59,1879;58,178;57,267;56,2604;55,1789;54,3975;53,6801;52,402;51,303;50,4715;49,2836;48,3069;47,2430;46,257;45,5100;44,6387;43,2471;42,1275;41,2832;40,932;39,179;38,3321;37,832;36,6250;35,6036;34,3353;33,4301;32,198;31,7036;30,2490;29,1814;28,1895;27,660;26,399;25,2588;24,6838;23,1765;22,4764;21,1877;20,271;19,1165;18,600;17,2082;16,4741;15,2231;14,3283;13,3595;12,4636;11,2063;10,2630;9,725;8,4369;7,3701;6,666;5,2940;4,6904;3,973;2,269;1
