25
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25
52,4960;3276;4813;1567;5814;6328;5800;4870,daytime:morning,923;25,80;24,101;23,1131;22,162;21,51;20,1645;19,180;18,141;17,5946;16,3595;15,1421;14,1250;13,75;12,3321;11,100;10,1138;9,3348;8,4809;7,974;6,2796;5,5531;4,4718;3,1765;2,3643;1
52,5461;6779;2649;1771;5443;1006;5241;3776;4307;6704,daytime:night,923;25,80;24,101;23,222;22,162;21,621;20,1645;19,180;18,141;17,5946;16,3595;15,1250;14,3433;13,75;12,3321;11,100;10,1365;9,1138;8,3348;7,4809;6,974;5,2796;4,5531;3,4718;2,3088;1
52,6110;6195;1457;799;3010;2511;2521,daytime:afternoon,923;25,80;24,101;23,1131;22,222;21,162;20,621;19,51;18,1645;17,180;16,141;15,5946;14,3595;13,1421;12,1250;11,3433;10,75;9,3321;8,100;7,1365;6,1138;5,3348;4,4809;3,974;2,2796;1
20,4487;4182;5698;7100;1605;4573;2970;7088;4923;1485;3892;5976;3044;5618;345;6577;2685;347;1173;2858;1831;3225;214;2105;860;6252;1296;5286;2013;2393;4267;946;6513;1534;3289;4537;5743;5673;1990;912;2040;893;1613;5503;5105;5256;2650;2099;754;4527;6789;1388;1891;226;604;2591;5577;4593;1425;1521;2515;6065;5398;4621;1221,daytime:morning,3444;25,942;24,420;23,2338;22,604;21,1936;20,2512;19,5770;18,3770;17,4920;16,1550;15,173;14,545;13,3588;12,6067;11,1917;10,2378;9,4854;8,4451;7,63;6,2143;5,3799;4,2946;3,54;2,270;1
20,975;4679;406;3430;2473;3862;5956;2094;713;5563;428;3906;1911;591;4508;3934;1445;5896;4770;5989;453;5026;6890;2817;2059;2378;6138;3273;2611;5168;1766;27;2037;4316;646;21;5663;4641;5913;715;5856;5810;5771;1879;5483;6352;2676;4417;1305;6079;4659;2700;165;1087;3503;222;4418;1757;4630;2387;5071;5811;3939;2604;2536;6615;6319;5742;5926;1070;5084;4711;2030,daytime:evening,3444;25,942;24,420;23,2338;22,604;21,250;20,5770;19,4920;18,1550;17,173;16,6067;15,1102;14,1917;13,2649;12,2378;11,4854;10,4451;9,63;8,1856;7,3799;6,2946;5,1013;4,54;3,270;2,4741;1
20,5890;2809;1510;679;3797;1895;247;3450;17;317;1352;4263;2652;6330;390;6042;2664;5223;4930;2338;382;6277;3182;2327;3069;5032;4823;2366;2729;3929;4505;4342;999;6312;6143;244;1862;6550;6376,daytime:night,3444;25,942;24,2338;23,604;22,1936;21,250;20,2512;19,5770;18,3770;17,4920;16,1550;15,173;14,545;13,3588;12,6067;11,1102;10,1917;9,2649;8,2378;7,4854;6,4451;5,63;4,1856;3,2143;2,3799;1
20,6999;1069;1095;1093;1550;3340;5048;6200;2024;6073;2811;3658;5497;1687;791;1630;2483;5523;444;3363;5034;2760;3455;1129;4956;4681;6697;2671;3134;2028;874;6383;5349;3208;1012;2408;2968;3967;3992;1106;5549;6075;4628;5853;5566;3977;1023;5679;4353;1269;137;3028;530;3622;2086;3783;5823;5211;3537;6661;1426;129;5642;5891;4107;3344;456;2379;5864;1821,daytime:afternoon,3444;25,420;24,2338;23,604;22,1936;21,250;20,2512;19,3770;18,4920;17,1550;16,173;15,545;14,3588;13,6067;12,1102;11,2649;10,2378;9,4451;8,1856;7,2143;6,3799;5,2946;4,1013;3,54;2,270;1
323,4516;4070;4613;666;4572;4691;5720;2790;5951;6624;4029;5537;1854;4008;2499;3470;6407;783;1211;1086;1401;5078;714;4486;6205;366;3619;2880;825;250;475;1525;793;195;2912;5852;1699;1736;660,daytime:morning,54;25,60;24,389;23,250;22,71;21,1550;20,3770;19,63;18,6141;17,270;16,832;15,6250;14,420;13,291;12,460;11,2243;10,3587;9,95;8,6007;7,6639;6,2888;5,1421;4,142;3,3575;2,1044;1
323,913;2834;60;3894;5351;2260;3937;5481;985;2205;2210;6975;3646;5441;2453;4095;924;6628;1450;2303;243;1848;622;4616;2999;5509;4935;3900;6185;1131;6116;450;339,daytime:evening,173;25,54;24,60;23,389;22,250;21,71;20,3770;19,63;18,270;17,832;16,1057;15,603;14,6250;13,420;12,3588;11,291;10,460;9,1514;8,353;7,2243;6,3587;5,95;4,6007;3,6639;2,5100;1
323,1606;207;3368;6877;277;368;5042;3191;1588;3159;1014;263;6101;421;110;2359;667;710;6919;2109;8;859;169;1220;180;2934;4425;1758;214;2164;2639;4815;945;6177;3467;2213;3903;1194;232;867;287;5531;4520;3774;3028;2458;6760;1931;981;4394;6139;1424;638,daytime:night,173;25,60;24,389;23,250;22,71;21,1550;20,3770;19,63;18,6141;17,832;16,1057;15,603;14,6250;13,420;12,3588;11,291;10,1514;9,353;8,2243;7,95;6,6007;5,6639;4,2888;3,5100;2,1421;1
323,1267;184;56;7110;1408;3447;3293;443;1953;5334;333;6260;6924;960;4160;4629;5886;69;6659;1951;830;7036;252;294;458;1601;5339;860;166;3730;1455;261;2082,daytime:afternoon,173;25,54;24,60;23,389;22,250;21,71;20,1550;19,3770;18,63;17,6141;16,270;15,832;14,1057;13,603;12,6250;11,420;10,3588;9,460;8,1514;7,353;6,2243;5,3587;4,95;3,6007;2,6639;1
182,5440;6036;500,daytime:morning,270;25,184;24,974;23,5973;22,7143;21,3770;20,104;19,1057;18,284;17,291;16,141;15,406;14,456;13,69;12,3444;11,402;10,2221;9,27;8,2355;7,6801;6,60;5,144;4,1269;3,140;2,1765;1
182,128;60;98,daytime:evening,270;25,974;24,5973;23,54;22,7143;21,3770;20,104;19,1057;18,284;17,291;16,406;15,456;14,69;13,3444;12,441;11,402;10,2221;9,27;8,2355;7,6801;6,60;5,144;4,1269;3,140;2,1765;1
182,5364;6675;750;974;3191,daytime:night,184;25,974;24,54;23,3770;22,104;21,1057;20,291;19,141;18,406;17,69;16,3444;15,441;14,402;13,2221;12,27;11,2355;10,6801;9,60;8,1269;7,140;6,1765;5,227;4,6036;3,1588;2,1131;1
183,4478;5204;4926;986;4691;3357;3079;1269;977;2688;2228;4201;5732;2729;2610;4414;5318;2870;2296;3109;168;959,daytime:morning,460;25,4852;24,1715;23,6067;22,1936;21,3897;20,4365;19,294;18,333;17,5545;16,1550;15,1970;14,1614;13,3533;12,545;11,1982;10,3479;9,4061;8,380;7,604;6,439;5,5770;4,4923;3,771;2,2472;1
183,913;59;5760;3797;5548;4745;779;5981;1496;5975;2704;1380;397;6395;2210;3748;2728;2347;2369;3059;3675;3338;860;4825;6423;2266;1666;3231;1467,daytime:evening,460;25,4852;24,1715;23,6067;22,1936;21,3897;20,4365;19,294;18,333;17,5545;16,1550;15,1970;14,1614;13,6118;12,3533;11,545;10,3479;9,380;8,604;7,439;6,5770;5,4923;4,771;3,2472;2,3326;1
183,5559;1210;365;2109;2178;2192;6160;3021;2338;2405;6321;371;5106;1641;793;3350;6710;3332;1289;2201,daytime:night,460;25,4852;24,6067;23,3897;22,4365;21,294;20,333;19,5545;18,1550;17,1970;16,1614;15,6118;14,545;13,1982;12,4061;11,380;10,604;9,439;8,4923;7,771;6,2472;5,798;4,1774;3,1253;2,63;1
183,5962;2406;3128;472;5401;4596;3889;4846;1976;1350;4954;333;3399;2719;4010;5034,daytime:afternoon,460;25,4852;24,1715;23,6067;22,1936;21,4365;20,294;19,333;18,5545;17,1550;16,1614;15,6118;14,3533;13,1982;12,3479;11,4061;10,380;9,604;8,439;7,5770;6,4923;5,771;4,2472;3,798;2,3326;1
154,1971;6314;232;1167;6200;259;1607;6231;750;1133;2238;2650;5427;45;618;1676;2486;6398;4718;6686;3119;2682;4957;4734;955;199;4080,daytime:morning,60;25,54;24,173;23,128;22,63;21,1588;20,1057;19,250;18,974;17,456;16,6250;15,5946;14,141;13,1883;12,140;11,71;10,102;9,1550;8,284;7,104;6,1734;5,3;4,6675;3,3415;2,277;1
154,131;3302;1292;6067;3905;6081;1590;220;2284;1236;3112;4863;357;61;2085;1057;2197;324;1417;6483;2371;5712;4241;7013;5214;141;3776;76;4491;742;1685;2558,daytime:evening,60;25,173;24,128;23,1588;22,1057;21,270;20,250;19,456;18,5100;17,6141;16,5946;15,141;14,1883;13,56;12,71;11,102;10,1550;9,284;8,1734;7,3;6,6675;5,277;4,353;3,6639;2,2888;1
154,6258;1790;2447;3445;740;5758;565;2562;3780;3028;284;746;456;933;5944,daytime:night,60;25,54;24,173;23,128;22,63;21,1588;20,1057;19,270;18,250;17,974;16,456;15,5100;14,6250;13,6141;12,5946;11,141;10,1883;9,140;8,56;7,71;6,102;5,1550;4,284;3,104;2,3;1
154,60;6350;719;405;6670;1939;845;277;3002;3934;4190;263;6507;291;4817;1075;1325;195;1789;4514;1524;1419;6020;5398;1221,daytime:afternoon,60;25,54;24,63;23,1588;22,1057;21,270;20,250;19,974;18,456;17,5100;16,6250;15,6141;14,5946;13,141;12,1883;11,140;10,56;9,71;8,102;7,1550;6,284;5,104;4,1734;3,3415;2,277;1
210,3503;891;1734;1417;971;1759;607;266;5735;4038;30;1548;3943;6036;523;178;2214;29;270;5640;806;1685;6030,daytime:morning,128;25,270;24,974;23,54;22,104;21,291;20,60;19,180;18,71;17,6141;16,173;15,5946;14,51;13,456;12,3886;11,5100;10,1550;9,742;8,141;7,6067;6,1588;5,2221;4,2888;3,140;2,3681;1
210,889;2703;503;6708;3994;2634;4692;1286;2497;5312;107;5990;6134;2161;3439;3765;3757;2398;1587;209;267;5280;4997;1356;2666;5829;1912;4640;2443;1950;5578,daytime:evening,128;25,270;24,974;23,54;22,104;21,291;20,60;19,180;18,71;17,6141;16,173;15,5946;14,51;13,456;12,3886;11,284;10,63;9,5100;8,1550;7,742;6,141;5,6067;4,1588;3,2221;2,2888;1
210,1398;4412;1381;135;956;680;2125;2838;867;256;3127;37;3690;6033;6141;1333;12;967;919;747;4208;3470;6068;1772;4866;783;227;1430;4177;1457;6442;4951;2275;3339;684;1512;1055;1775;2641;3131;401;540;4479;4480;2470;4465,daytime:night,128;25,270;24,974;23,54;22,291;21,60;20,180;19,71;18,6141;17,173;16,5946;15,51;14,456;13,3886;12,284;11,63;10,5100;9,742;8,141;7,6067;6,1588;5,2221;4,140;3,2506;2,3681;1
210,1629;6221;5683;6350;2051;6288;1773;277;6314;3524;5516;5023;6922;985;4422;4189;5233;766;3482;3876;1454;624;2109;4185;6628;4808;7;3111;2547;5257;3750;1082;5106;5075;621;1777;4057;456;5134;1319;3438;3935;742;2350;4251,daytime:afternoon,128;25,270;24,104;23,60;22,180;21,6141;20,5946;19,51;18,456;17,3886;16,284;15,63;14,5100;13,1550;12,742;11,6067;10,1588;9,2221;8,2888;7,2506;6,3681;5,6885;4,84;3,1424;2,3831;1
2,975;7033;60;3202;2373;1194;5690;3905;2414;6081;1366;256;4371;2575;2932;118;4065;2810;2811;960;2403;2853;1015;3045;5584;2495;4328;4502;2127;1097;1341;785;5197;2630;5692;3296;807;458;5339;97;603;1336;290;1146;2714,daytime:morning,270;25,54;24,974;23,420;22,51;21,60;20,3770;19,27;18,141;17,5973;16,5946;15,2221;14,1421;13,621;12,168;11,180;10,69;9,4741;8,1765;7,1057;6,6067;5,1645;4,184;3,71;2,6141;1
2,3132;2405;1320;628;5258;2909;3191;3922;1731;4958;1788;1694;2689;1178;1673;5004;2199;1289;146,daytime:evening,270;25,54;24,974;23,291;22,420;21,173;20,60;19,3770;18,141;17,5973;16,222;15,5946;14,2221;13,1421;12,621;11,168;10,180;9,69;8,1765;7,1057;6,6067;5,1645;4,184;3,71;2,6141;1
2,102;2397;5047;1196;3894;3340;3299;591;2490;671;5283;2291;203;4645;4684;4783;5466;6789;3078;2671;861;3295;2984;2036;1156;393;1212;4530;265;1265;6371,daytime:night,270;25,974;24,291;23,173;22,51;21,60;20,3770;19,27;18,141;17,5973;16,222;15,1421;14,621;13,180;12,69;11,4741;10,1057;9,6067;8,1645;7,184;6,71;5,6141;4,563;3,832;2,128;1
2,4027;6181;2649;1799;981;2545;2409;4110;2437;241;7082;1456;1666;6065;2454,daytime:afternoon,270;25,54;24,974;23,291;22,420;21,173;20,51;19,60;18,3770;17,27;16,5973;15,222;14,5946;13,2221;12,1421;11,621;10,168;9,180;8,4741;7,1765;6,1057;5,6067;4,1645;3,184;2,71;1
