25
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25
52,2528;2574;3610;3698;4282;6414;2815;3696;1489,daytime:morning,1363;25,3736;24,854;23,974;22,112;21,923;20,2772;19,2946;18,3539;17,2036;16,1095;15,2591;14,2101;13,3441;12,420;11,1522;10,4720;9,3017;8,5358;7,3763;6,4809;5,5945;4,5196;3,2595;2,300;1
52,6805;5109;703;3239;4970;1139;1845;3595;27;5457;999;348;2915;812,daytime:evening,1363;25,3736;24,854;23,974;22,992;21,112;20,923;19,2772;18,2946;17,3539;16,2036;15,1095;14,2591;13,3441;12,1522;11,4720;10,3017;9,2584;8,5358;7,3763;6,4809;5,5945;4,5196;3,2595;2,300;1
52,3144;1969;3870;7181;1421;3417;3720;4017;7266;51,daytime:night,1363;25,3736;24,854;23,974;22,992;21,112;20,923;19,2772;18,2946;17,2036;16,1095;15,2591;14,2101;13,3441;12,420;11,1522;10,4720;9,3017;8,2584;7,5358;6,3763;5,4809;4,5945;3,5196;2,2595;1
52,3083;3142;2415;3202;4523;6568;3244;5319;3505;4467,daytime:afternoon,1363;25,3736;24,854;23,974;22,992;21,112;20,923;19,2772;18,2946;17,3539;16,2036;15,1095;14,2591;13,2101;12,3441;11,420;10,1522;9,4720;8,3017;7,2584;6,5358;5,4809;4,5945;3,5196;2,2595;1
20,3839;4925;5760;4539;5480;28;2005;3321;1955;3118;3032;5013;268;2063;2538;6349;5275;3415;3057;233;4954;2841;2880;5508;250;3254;6862;957;3391;2148;854;3231;5925;2432;4911;3866;5249;2649;4939;101;2836;5231;4109;6795;4990;4236;5839;5031;524;468;2480;3689;1176;3557;5845;1639;5620;782;3390;3395;1165;5955;272;4183;681,daytime:morning,1148;25,3829;24,4930;23,1550;22,1879;21,95;20,2164;19,2477;18,2124;17,2724;16,2143;15,4849;14,2082;13,1748;12,5264;11,5578;10,5332;9,2755;8,4740;7,5100;6,2470;5,1255;4,6026;3,1917;2,5449;1
20,2280;5977;5629;2749;3719;5354;1461;795;3580;2982;3972;6878;5473;5903;4438;5974;4590;3854;5199;1187;2690;2425;2435;4789;1664;6002;4693;2020;2266;6984;5724;4080;6410;6092;2104;223;2128;1731;2699;151;3396;4639;554;2395;5163;5485;3434;3224;4817;6347;5850;14;343;6910;3707;2183;5894;3240;3372;3255;3531;4530;5860;5830;88;5103;3058;5612,daytime:evening,353;25,1148;24,4196;23,6219;22,4930;21,1550;20,2164;19,2477;18,2724;17,4849;16,6334;15,2082;14,1748;13,604;12,2645;11,5264;10,5578;9,5332;8,2755;7,5100;6,2470;5,3953;4,1255;3,6026;2,1917;1
20,3144;3759;6128;4175;1006;2510;3299;6044;2579;6825;4295;4535;1682;270;6985;2406;364;2784;5022;4696;2362;6038;6547;568;2734;605;5464;5449;4321;742,daytime:night,353;25,3829;24,4196;23,6219;22,1550;21,1879;20,95;19,2164;18,2477;17,2124;16,2143;15,4849;14,6334;13,2082;12,1748;11,604;10,2645;9,5264;8,5578;7,5332;6,2755;5,4740;4,5100;3,2470;2,3953;1
20,3164;4071;1428;3244;4765;1672;4653;1161;4083;431;1636;4581;2505;3876;4890;1484;1614;5099;5050;4597;2584;1710;6694;2117;4278;5872;3908;3353;2602;4323;3031;6938;3567;5529;1734;4970;5185;1555;2313;942;5770;1235;5383;6608;5996;4554;2539;5600;3278;2137;6475;5657;3589;2451;2816;458;2556;3597;381;5073;5077;4980;1968;4514;2595;3485,daytime:afternoon,353;25,1148;24,3829;23,4196;22,6219;21,4930;20,1879;19,95;18,2164;17,2477;16,2124;15,2724;14,2143;13,4849;12,6334;11,2082;10,1748;9,604;8,2645;7,5264;6,5332;5,2755;4,4740;3,2470;2,3953;1
323,774;6350;3719;4142;4633;6314;2662;1725;2511;194;736;4264;4201;508;1618;1045;3143;3875;2505;1057;595;1022;1364;2672;5670;1417;6111;2817;3069;5451;682;1055;1778;4120;27;4107;6865;3709;824;2613;6561;353,daytime:morning,353;25,291;24,1057;23,432;22,1420;21,932;20,104;19,7;18,1131;17,232;16,56;15,270;14,63;13,785;12,679;11,51;10,86;9,277;8,141;7,95;6,406;5,54;4,4465;3,604;2,7143;1
323,5070;4245;2823;5592;6670;1550;6112;6566;2375;6141;1214;7069;3664;3102;5055;4369;3487;2692;2000;227;788;3277;1188;5273;3043;2605;920;4044;491;973;646;3404,daytime:evening,353;25,291;24,1057;23,432;22,1420;21,932;20,104;19,7;18,232;17,173;16,56;15,270;14,63;13,2501;12,785;11,280;10,679;9,51;8,277;7,141;6,95;5,406;4,54;3,4465;2,7143;1
