25
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25
20,2280;5977;5629;2749;3719;5354;1461;795;3580;2982;3972;6878;5473;5903;4438;5974;4590;3854;5199;1187;2690;2425;2435;4789;1664;6002;4693;2020;2266;6984;5724;4080;6410;6092;2104;223;2128;1731;2699;151;3396;4639;554;2395;5163;5485;3434;3224;4817;6347;5850;14;343;6910;3707;2183;5894;3240;3372;3255;3531;4530;5860;5830;88;5103;3058;5612,daytime:evening,6715;25,6982;24,7156;23,2472;22,7262;21,4368;20,3377;19,1402;18,1351;17,2261;16,1664;15,4362;14,7048;13,2532;12,1680;11,6735;10,4075;9,7251;8,6965;7,1941;6,2152;5,822;4,3176;3,922;2,2752;1
109,1909;3627;6794;5325;1530;4314;1682;3766;1833;2078;7051;4258;5768;1413;549;2378;3619;2639;4737;4805;1431;4360;995;6633;7253,daytime:night,6715;25,6982;24,7156;23,2472;22,7262;21,4368;20,3377;19,1402;18,1351;17,2261;16,1664;15,4362;14,2532;13,7048;12,1680;11,6735;10,4075;9,7251;8,6965;7,1941;6,2152;5,822;4,3176;3,922;2,2752;1
127,853;1363,daytime:evening,2472;25,6715;24,2261;23,7148;22,5692;21,1493;20,6982;19,5815;18,3999;17,1274;16,4893;15,4594;14,4075;13,714;12,7291;11,45;10,1978;9,5851;8,1801;7,4368;6,5108;5,4173;4,64;3,3311;2,1566;1
128,6311;5176;5056;2157;5042;5762;478;4889;5033;1097;209;2781;5508;5004;1499;80;4191;4009;4006;4052;4465;4445;2177;5874;5185;3591;232;3481;5371;4173;4286;1822;2509;222;5557;2717;1835;1700;3783;4288;1637;3022;2302;335;5106;6504;799;290,daytime:night,6715;25,6982;24,7156;23,2472;22,7262;21,4368;20,3377;19,1402;18,1351;17,2261;16,1664;15,4362;14,2532;13,7048;12,1680;11,6735;10,4075;9,7251;8,1941;7,6965;6,2152;5,822;4,3176;3,922;2,2752;1
128,354;2834;3926;5960;399;795;1463;4508;2196;3470;1422;1765;2590;575;771;3539;891;1676;2527;4998;2066;3296;2540;5264;884;2310;1385;1008;6406;166;211,daytime:afternoon,6715;25,6982;24,7156;23,2472;22,7262;21,4368;20,3377;19,1402;18,1351;17,2261;16,1664;15,4362;14,2532;13,7048;12,1680;11,6735;10,4075;9,7251;8,1941;7,6965;6,2152;5,822;4,3176;3,922;2,2752;1
185,3424;5912;2612;247;713;136;7145;6104;5473;317;1248;5318;6273;2533;2889;2197;2121;5094;4823;1566;1604;6921;2399;6542;2098,daytime:night,6715;25,6982;24,7156;23,2472;22,7262;21,4368;20,3377;19,1402;18,1351;17,2261;16,1664;15,4362;14,7048;13,2532;12,1680;11,6735;10,4075;9,7251;8,6965;7,2152;6,1941;5,822;4,3176;3,922;2,2752;1
316,5736;3549;5252;1200;7242;5903;2189;6722;5584;4895;2455;4607;4476;3539;3831;6665;1094;5194;830;2338;4290;1660;2457;2864;3930;2729;1162;5182;1231;2861;647;2470;6959;6485;6551;102;4134;1712;5185;1876;5548;5428;5456;256;2918;555;333;6715;2570;5886;2290;7141;3513;4869;4418;724;5333;4840;7291;7136;5900;2758;1325;1425;2430;5907;4583;4129;199;4235,daytime:morning,6715;25,6982;24,7156;23,2472;22,7262;21,4368;20,3377;19,1402;18,1351;17,2261;16,1664;15,4362;14,2532;13,1680;12,7048;11,4075;10,6735;9,7251;8,2152;7,6965;6,1941;5,822;4,3176;3,922;2,2752;1
316,4344;50;3971;2985;443;5806;642;3715;1177;2424;6870;1607;1405;12;4074;5318;3442;4056;2170;2269;467;86;427;5451;491;3869;230;5986;3189;5856;3657;1671;5867;5377;2748;4523;249;6765;183;1845;4013;5791;1785;204;2049;3936;5757;731;1740;6659;2840;3278;4810;2879;2263;91;972;1412;1000;240;5220;937;2711;2472;3736;5398,daytime:night,6715;25,6982;24,7156;23,2472;22,7262;21,4368;20,3377;19,1402;18,1351;17,2261;16,1664;15,4362;14,2532;13,1680;12,7048;11,4075;10,6735;9,7251;8,2152;7,6965;6,1941;5,822;4,3176;3,922;2,2752;1
165,5725;3719;308;2932;3565;4508;1044;5589;624;4399;4804;2859;2713;6252;4693;3932;3735;7054;2088;236;2893;2349;223;2313;3126;951;942;44;4265;107;2296;1833;2539;1740;1652;1057;4102;4798;5344;1478;267;1412;1121;3588;2905;1574;7233;2171;4961;3990,daytime:afternoon,6715;25,6982;24,7156;23,2472;22,7262;21,4368;20,3377;19,1402;18,1351;17,2261;16,1664;15,4362;14,2532;13,7048;12,1680;11,6735;10,4075;9,7251;8,1941;7,6965;6,2152;5,822;4,3176;3,922;2,2752;1
194,1860;5289;5174;3582;2050;3648;1773;6259;2899;1320;730;6687;118;1043;4236;2976;4921;4163;5990;1477;4841;1148;453;1887;4437;547;7032;3952;1710;2420;5131;682;972;6361;2164;6529;5082;1212;605;6867;2204;3088;117;6177;1375;2470,daytime:evening,6715;25,6982;24,7156;23,2472;22,7262;21,4368;20,3377;19,1402;18,1351;17,2261;16,1664;15,4362;14,2532;13,7048;12,1680;11,6735;10,4075;9,7251;8,6965;7,1941;6,2152;5,822;4,3176;3,922;2,2752;1
