25
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25
52,2610;6705;1877;844;4784;6814;3091;4155;4560,daytime:evening,923;25,14;24,849;23,51;22,180;21,6059;20,3926;19,1450;18,270;17,6134;16,184;15,141;14,4091;13,2946;12,474;11,284;10,2078;9,95;8,4282;7,1151;6,1712;5,83;4,5314;3,1010;2,1250;1
52,2113;711;7082;13;5266;4128;3240;2331,daytime:night,923;25,14;24,849;23,180;22,6059;21,3926;20,1450;19,270;18,6134;17,184;16,141;15,4091;14,2946;13,420;12,474;11,284;10,2078;9,95;8,4282;7,1151;6,1712;5,5314;4,1139;3,1010;2,1250;1
52,3704;3577;5554;1377;1972;2651;5591;4807;355;368;3767;4882,daytime:afternoon,923;25,14;24,849;23,51;22,180;21,6059;20,3926;19,1450;18,270;17,6134;16,184;15,141;14,4091;13,2946;12,420;11,474;10,284;9,2078;8,95;7,4282;6,1151;5,1712;4,83;3,5314;2,1139;1
20,1025;4699;3448;3853;3761;5623;1562;5942;2385;5471;4629;1935;2176;5107;4196;3958;6573;1976;3187;5545;5793;265;380;2150;4010;5682;353;959;236;4481;1329;3953;4341;5785;399;5382;2610;3774;4034;1718;3961;29;2537;2767;253;2884;4715;4654;872;4685;2622;3928;4615;2430;4917;1665;199;3679,daytime:morning,353;25,3717;24,458;23,545;22,2338;21,2094;20,1725;19,396;18,7;17,1734;16,173;15,1694;14,280;13,1131;12,2007;11,1550;10,2784;9,4740;8,3182;7,6250;6,3770;5,603;4,942;3,5586;2,232;1
20,817;545;1744;5999;2220;2375;1332;4839;5993;1337;4611;3639;4128;5135;580;1205;6771;3466;2248;1788;2713;3701;97;1783;2021;3924;2088;5447;6387;4122;3218;3445;3202;378;3283;3137;3505;4013;5949;4553;4230;5936;4802;3620;3185;3886;4837;1676;5607;1346;3588;1008;1578;1131;4961;3796;2913;2343,daytime:evening,353;25,3717;24,458;23,545;22,2338;21,250;20,604;19,423;18,7;17,524;16,1734;15,173;14,1694;13,280;12,1131;11,2007;10,1550;9,2784;8,5193;7,3182;6,6250;5,603;4,942;3,5586;2,232;1
20,5148;535;5912;5676;1569;1458;1607;6757;658;1148;3775;449;3716;820;6160;5671;564;1462;3357;6239;793;4380;3350;6503;4751;4496;2217;1490;6127,daytime:night,353;25,3717;24,458;23,545;22,2094;21,250;20,604;19,1725;18,423;17,396;16,7;15,524;14,1734;13,173;12,1694;11,280;10,1131;9,2007;8,1550;7,4740;6,5193;5,6250;4,3770;3,603;2,942;1
20,1250;4978;4204;2007;255;2790;833;368;440;3800;3517;3536;1246;1044;936;4600;3988;5589;2273;3782;692;2517;3162;5541;1004;3317;5094;4291;5100;3717;5132;4076;1128;5028;6630;3469;4361;3010;4411;62;3872;3648;3787;1961;2785;4881;5258;2603;676;2832;2759;652;47;2384;69;350;4102;2845;4824;3651;3388;5206;5020;3525;2173;720;4586;4513;5694;1539;3129,daytime:afternoon,353;25,3717;24,545;23,2338;22,2094;21,250;20,604;19,1725;18,423;17,396;16,7;15,524;14,173;13,280;12,1131;11,2007;10,2784;9,4740;8,5193;7,3182;6,3770;5,603;4,5586;3,232;2,3929;1
323,102;6999;3127;2885;7102;4631;1305;377;1621;107;4017;178;5144;4841;4407;385;2660;5379;1801;1982;4090;2327;5987;3296;3607;5100;6223;993;3666;1515;4068;1465;5262,daytime:morning,270;25,420;24,1607;23,942;22,95;21,1148;20,8;19,10;18,6141;17,456;16,2703;15,184;14,291;13,60;12,1097;11,232;10,1914;9,1550;8,207;7,1666;6,71;5,2164;4,222;3,6368;2,2946;1
323,2508;719;1023;7261;533;1167;3625;424;6109;2267;1281;4190;2296;2947;749;448;1205;4920;6495;427;2888;2580;5665;1121;1321;725;5084;1183,daytime:evening,270;25,420;24,1607;23,95;22,1148;21,8;20,10;19,456;18,1854;17,2703;16,184;15,27;14,291;13,232;12,1914;11,207;10,974;9,1666;8,71;7,280;6,2164;5,6368;4,2946;3,189;2,1645;1
323,1279;1302;6404;5874;245;6259;3135;5806;1898;118;4695;2241;701;6911;2291;4889;766;370;2550;1704;5777;7053;3788;1400;25;3496;6367;5194;54;5572;2378;6013;2645;3408;4082;67;3149;501;1319;153;1154,daytime:night,420;25,942;24,95;23,1148;22,10;21,6141;20,456;19,1854;18,2703;17,184;16,27;15,291;14,60;13,1097;12,1914;11,1550;10,974;9,1666;8,71;7,280;6,222;5,6368;4,2946;3,189;2,1645;1
