25
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25
52,222;3687;2052;344;6246;2584;74;3433;1755;1365;621;4117;3088;168;6134;1533,daytime:morning,1131;25,923;24,726;23,2699;22,6549;21,5584;20,1688;19,5241;18,1227;17,3679;16,3575;15,703;14,1727;13,4071;12,1139;11,5032;10,4467;9,1269;8,1219;7,3419;6,657;5,2678;4,270;3,799;2,368;1
52,4167;3523;5466;3103;1169;2894;872;75;900;4585;2430;5584;2505,daytime:evening,1131;25,923;24,726;23,2699;22,6549;21,5584;20,1688;19,5241;18,1227;17,3679;16,3575;15,1727;14,4071;13,4467;12,1269;11,1219;10,657;9,2678;8,270;7,799;6,368;5,1477;4,1136;3,4807;2,6636;1
52,3224;924;2063;4323;5395;5004;382;1920,daytime:afternoon,1131;25,923;24,726;23,2699;22,6549;21,5584;20,1688;19,5241;18,1227;17,3679;16,3575;15,703;14,1727;13,4071;12,1139;11,5032;10,1269;9,1219;8,3419;7,657;6,270;5,1477;4,1136;3,6636;2,51;1
20,4165;4763;1647;4206;5504;6098;2010;5733;7027;5192;3575;3731;2233;2770;5640;467;5011;3831;1597;1771;4918;3206;4957;3803;6140;3790;3042;269;588;211;6313;2019;3302;4852;2614;6259;183;6289;1052;239;2574;4631;293;423;1180;5119;4207;1135;2178;6894;5408;1760;1982;4931;6334;6219;5131;4929;2166;4683;6323;2270;3113;2281;4491;1013,daytime:morning,2894;25,3620;24,386;23,1936;22,5973;21,3770;20,2859;19,1960;18,5741;17,7143;16,3975;15,4854;14,252;13,2792;12,84;11,1457;10,136;9,2451;8,545;7,456;6,6091;5,3561;4,173;3,974;2,5730;1
20,2665;6517;6199;6797;4462;1099;642;311;3625;5139;2895;3337;4820;3708;5961;4098;1474;1341;5115;2630;6571;3724;1567;6203;1155;4452;6020;95;5268;3417;6321;4187;691;1463;616;5407;2512;4801;2124;4085;5686;1759;5973;6190;3586;5665;4457;4740;1610;5189;3105;4632;6207;6102;5729;4612,daytime:evening,386;25,2836;24,3892;23,604;22,5973;21,1102;20,2859;19,1960;18,5741;17,7143;16,86;15,112;14,3975;13,4854;12,3953;11,252;10,2792;9,84;8,1457;7,136;6,2451;5,5013;4,456;3,6091;2,7100;1
20,6125;5315;5910;5416;420;1136;2543;2746;2808;3634;3458;5243;3177;1496;2814;7145;1709;3975;2993;2860;168;6685;5412;5935;2797;1172;4062;4565;2015;4560;2163;2688;451;3484;6027;7073;3291;955;290;6542;4284,daytime:night,2894;25,3620;24,386;23,2836;22,3892;21,604;20,1936;19,5973;18,3770;17,1102;16,2859;15,1960;14,5741;13,7143;12,86;11,112;10,3975;9,4854;8,3953;7,252;6,2792;5,84;4,1457;3,136;2,2451;1
20,3180;5254;4138;504;1953;3165;5316;4007;4469;478;4049;1207;2126;3643;2550;2102;3579;61;4168;5472;2464;6384;3897;5061;6051;4425;635;4309;4237;4694;5807;5086;4300;6250;5488;974;365;4137;471;1917;2349;6233;2916;352;3405;3409;63;174;5621;6520;6613;629;4998;810;6173;4854;4556;4976;3891;3152,daytime:afternoon,2894;25,3620;24,386;23,2836;22,3892;21,604;20,1936;19,5973;18,3770;17,1102;16,2859;15,1960;14,5741;13,7143;12,86;11,112;10,3975;9,4854;8,3953;7,252;6,2792;5,84;4,1457;3,136;2,5013;1
323,1917;5325;4432;223;5319;1514;2154;1405;4104;241;4314;5281;191;2149;1015;486;2085;1563;4527;4005;1126;3415;3897;2059;3341;2781;2501;1923;381;1634;1789;284;670;23;3540;2623;4751;213;3920;6310;3238;6049;593;5966,daytime:morning,95;25,270;24,3620;23,184;22,60;21,1131;20,6141;19,742;18,406;17,2372;16,7143;15,232;14,2894;13,86;12,457;11,960;10,1645;9,339;8,646;7,54;6,136;5,14;4,456;3,1240;2,785;1
323,3601;1734;565;1971;1233;2927;942;797;6675;931;2124;2803;1797;222;6095;740;2778;1097;3111;2263;6043;1847;5501;235;1540;2112;1711;4302;5442,daytime:evening,95;25,974;24,270;23,3620;22,184;21,742;20,406;19,2372;18,7143;17,84;16,232;15,2894;14,457;13,173;12,960;11,1645;10,1057;9,353;8,54;7,136;6,14;5,456;4,1240;3,785;2,3;1
323,5057;2256;1851;1203;3;2209;352;3334;2295;2008;1899;423;270;4442;2842;5849;4228;2986;2425;4218;3401;2173;4685;388;6411;2168,daytime:night,95;25,974;24,270;23,3620;22,184;21,60;20,1131;19,6141;18,406;17,2372;16,7143;15,84;14,2894;13,86;12,457;11,173;10,960;9,1645;8,1057;7,339;6,353;5,646;4,136;3,14;2,456;1
323,50;1962;6841;679;5714;607;3328;5516;4620;5238;2821;2116;524;2199;5400;2450;500;6184;3881;6879;5106;4077;1226;2136;543;905,daytime:afternoon,95;25,974;24,270;23,60;22,1131;21,6141;20,742;19,2372;18,7143;17,84;16,232;15,2894;14,86;13,457;12,173;11,1645;10,1057;9,339;8,353;7,646;6,54;5,136;4,14;3,1240;2,785;1
182,996;84;89,daytime:morning,386;25,742;24,7143;23,184;22,974;21,2110;20,1960;19,291;18,1102;17,480;16,6158;15,6141;14,166;13,4404;12,363;11,453;10,665;9,2372;8,2792;7,905;6,214;5,2894;4,5973;3,785;2,1131;1
182,184,daytime:evening,386;25,7143;24,54;23,184;22,974;21,2110;20,1960;19,291;18,1102;17,480;16,6158;15,6141;14,166;13,4404;12,363;11,453;10,2372;9,2792;8,905;7,214;6,2894;5,5973;4,1131;3,3444;2,553;1
182,657;1193;256;284;6141,daytime:night,386;25,742;24,54;23,184;22,2110;21,1960;20,291;19,1102;18,480;17,6158;16,6141;15,166;14,4404;13,363;12,453;11,665;10,2372;9,2792;8,905;7,214;6,2894;5,785;4,1131;3,3444;2,6029;1
182,102;5496;1170;533;1057,daytime:afternoon,386;25,742;24,7143;23,54;22,184;21,974;20,2110;19,1960;18,1102;17,480;16,6158;15,6141;14,166;13,4404;12,363;11,453;10,665;9,2372;8,2792;7,905;6,214;5,2894;4,5973;3,785;2,1131;1
183,6305;1007;3648;4468;2896;6643;4219;970;1750;6547;2631;4470;426;5691;4391;3557,daytime:morning,3701;25,1749;24,60;23,353;22,874;21,942;20,3774;19,2450;18,2477;17,354;16,136;15,3521;14,5731;13,1936;12,1166;11,1484;10,2522;9,435;8,603;7,84;6,263;5,1550;4,232;3,545;2,189;1
183,5026;5071;309;4146;1023;1275;428;4274;6231;4660;1880;6140;798;2295;1164;5989;4981,daytime:evening,3701;25,1749;24,60;23,353;22,874;21,942;20,3774;19,2539;18,2450;17,2477;16,354;15,136;14,3521;13,5731;12,3357;11,1936;10,1166;9,1484;8,2522;7,435;6,603;5,84;4,263;3,1550;2,232;1
183,6258;4070;396;6095;4804;249;4249;255;2746;2579;5689;5770;5025;2080;2847;2861;3940;4411;3579;1258;681,daytime:night,1749;25,60;24,874;23,942;22,3774;21,2539;20,2450;19,2477;18,354;17,136;16,3521;15,5731;14,3357;13,1166;12,1484;11,2522;10,435;9,603;8,84;7,263;6,1550;5,232;4,545;3,189;2,7100;1
183,1842;859;545;1917;4301;3829;5728;3897;608;5948;1473;3484;3031;3269;5488;2700;2093;5578;3058,daytime:afternoon,3701;25,1749;24,60;23,353;22,874;21,942;20,3774;19,2539;18,2450;17,2477;16,354;15,136;14,3521;13,5731;12,3357;11,1936;10,1166;9,1484;8,2522;7,435;6,603;5,84;4,263;3,1550;2,232;1
154,930;56;303;3807;679;6797;3052;607;1514;6141;5105;2583;3068;1506;5170;4547;6612;1791;1004;5246;5100;5528;3654;727;5077;646;4917;3730;6007;3258;4549;806,daytime:morning,742;25,6141;24,54;23,2372;22,60;21,95;20,1196;19,456;18,974;17,3620;16,905;15,3028;14,1131;13,291;12,136;11,1685;10,214;9,960;8,646;7,2894;6,1417;5,7143;4,740;3,148;2,1335;1
154,817;5736;5176;5110;4816;3630;3565;2932;4104;104;4427;6696;3885;3004;1135;4352;6470;3457;3788;5866;1759;3460;1385;2253;670;2172;140,daytime:evening,184;25,270;24,6141;23,2372;22,60;21,95;20,2650;19,1196;18,456;17,3620;16,905;15,3028;14,1131;13,291;12,232;11,136;10,189;9,214;8,960;7,646;6,406;5,2894;4,7143;3,740;2,148;1
