25
userId,correctItems,contexts,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25
20,975;4679;406;3430;2473;3862;5956;2094;713;5563;428;3906;1911;591;4508;3934;1445;5896;4770;5989;453;5026;6890;2817;2059;2378;6138;3273;2611;5168;1766;27;2037;4316;646;21;5663;4641;5913;715;5856;5810;5771;1879;5483;6352;2676;4417;1305;6079;4659;2700;165;1087;3503;222;4418;1757;4630;2387;5071;5811;3939;2604;2536;6615;6319;5742;5926;1070;5084;4711;2030,daytime:evening,6854;25,6992;24,7127;23,7157;22,643;21,2886;20,2892;19,5744;18,693;17,4493;16,7250;15,3555;14,6204;13,7067;12,3064;11,6820;10,6785;9,7209;8,5145;7,7199;6,3116;5,778;4,800;3,2493;2,6843;1
20,6999;1069;1095;1093;1550;3340;5048;6200;2024;6073;2811;3658;5497;1687;791;1630;2483;5523;444;3363;5034;2760;3455;1129;4956;4681;6697;2671;3134;2028;874;6383;5349;3208;1012;2408;2968;3967;3992;1106;5549;6075;4628;5853;5566;3977;1023;5679;4353;1269;137;3028;530;3622;2086;3783;5823;5211;3537;6661;1426;129;5642;5891;4107;3344;456;2379;5864;1821,daytime:afternoon,6854;25,6992;24,7127;23,7157;22,643;21,2886;20,2892;19,5744;18,693;17,4493;16,7250;15,3555;14,6204;13,7067;12,3064;11,6820;10,6785;9,7209;8,5145;7,7199;6,3116;5,778;4,800;3,2493;2,6843;1
109,6356;6818;1298;4512;7172;5351;3726;6882;2317,daytime:evening,6854;25,6992;24,7127;23,7157;22,643;21,2886;20,2892;19,5744;18,693;17,4493;16,7250;15,6204;14,3555;13,3064;12,7067;11,6785;10,6820;9,7209;8,5145;7,7199;6,3116;5,778;4,800;3,2493;2,6843;1
128,3544;666;6015;6841;1786;4762;5835;3910;384;5027;6253;1955;3731;3612;4581;1609;2406;6628;86;3187;3119;3931;2965;1537;3042;269;3533;2408;2289;2861;2136;974;6127;593;4561;1381;2373;4985;2300;1023;942;1113;6154;3474;2241;142;3049;3161;320;2782;1148;2539;2797;343;5008;4823;1082;3654;1622;2949;3543;937;4961;68;3574,daytime:morning,6854;25,6992;24,7127;23,7157;22,643;21,2886;20,2892;19,5744;18,693;17,7250;16,4493;15,6204;14,3555;13,7067;12,3064;11,6785;10,6820;9,7209;8,5145;7,7199;6,778;5,3116;4,2493;3,800;2,6843;1
128,4167;6599;5368;2831;2064;2484;5284;6797;1947;2260;3488;3165;977;2683;3321;4477;3960;5095;1014;6693;3502;1137;4937;1877;3454;85;3579;2465;5420;2640;3757;5904;5347;1927;180;2940;4619;2526;3929;4640;1064;605;4583;4361;387;4479;6049;4742,daytime:afternoon,6854;25,6992;24,7127;23,7157;22,643;21,2886;20,2892;19,5744;18,693;17,7250;16,4493;15,6204;14,3555;13,7067;12,3064;11,6785;10,6820;9,7209;8,5145;7,7199;6,778;5,3116;4,2493;3,800;2,6843;1
185,5962;5145;262;3591;4967;1589;4371;977;4708;2467;4602;5654;1614;4527;4062;3059;73;1760;3423;6137;1849;5086;1508;4068,daytime:morning,6854;25,6992;24,7127;23,7157;22,643;21,2886;20,2892;19,5744;18,693;17,4493;16,7250;15,6204;14,3555;13,3064;12,5145;11,6785;10,7067;9,6820;8,7209;7,800;6,778;5,7199;4,3116;3,2493;2,6962;1
185,6368;396;2192;3389;2836;6909;4778;2372;2799;203;5366;496;5936;2882;6487;4597;361;2622;6723;3269;748;2204;6550;5700;6752;1623,daytime:evening,6854;25,6992;24,7127;23,7157;22,643;21,2886;20,2892;19,5744;18,693;17,4493;16,7250;15,6204;14,3555;13,3064;12,5145;11,6785;10,7067;9,6820;8,7209;7,800;6,778;5,7199;4,3116;3,2493;2,6962;1
316,1278;5315;1196;292;2510;1895;5126;5139;2308;1246;1682;1617;4346;2597;7290;4223;3738;2582;6713;3039;4983;55;6663;332;4812;767;7116;1469;2105;3701;82;1128;6867;152;2072;808;5699;5430;1971;498;399;3561;5899;4671;1624;1076;4527;5250;1700;2337;3240;4953;1638;4935;13;2865;1568;686,daytime:morning,6854;25,6992;24,7127;23,7157;22,643;21,2886;20,2892;19,5744;18,693;17,4493;16,7250;15,6204;14,3555;13,7067;12,6785;11,3064;10,6820;9,7209;8,5145;7,7199;6,3116;5,778;4,2493;3,800;2,6843;1
316,4245;776;3079;5429;1433;6885;6141;3677;1648;6707;1051;1497;431;1067;716;1066;4562;2442;250;6400;3606;379;1974;7177;7237;3655;2734;2513;3438;2968;4452;190;1714;5743;956;781;5816;101;1006;4073;6913;1320;6619;3227;6233;2768;5870;7295;1137;2702;3689;7298;4837;6875;884;4;2325;4107;5659;2444;1802;2815;4145;153;4306;10,daytime:night,6854;25,6992;24,7127;23,7157;22,643;21,2886;20,2892;19,5744;18,693;17,4493;16,7250;15,6204;14,3555;13,7067;12,6785;11,3064;10,6820;9,7209;8,7199;7,3116;6,778;5,2493;4,800;3,6843;2,6962;1
316,1572;5321;56;3427;6346;712;6718;1750;3483;2346;3450;460;1626;1975;6822;3476;1935;4710;5263;2288;6668;1771;3672;952;5437;3902;3012;3466;1227;209;4112;5807;2037;6798;195;1064;3578;4224;1732;3935;248;974;6127;913;4595;4613;5060;4215;964;5573;6314;1052;1564;1591;142;3663;203;479;168;6134;3620;3432;85;5843;6505;6270;5344;2422;1310;4998;6279;309;6205;3423;5894;2682;6337;677;1460;363;897;1643;4089,daytime:afternoon,6854;25,6992;24,7127;23,7157;22,643;21,2886;20,2892;19,5744;18,693;17,4493;16,7250;15,6204;14,3555;13,7067;12,6785;11,3064;10,6820;9,7209;8,5145;7,7199;6,3116;5,778;4,2493;3,800;2,6843;1
130,6810;6690;1309;5466;758;4157;878;1545;2573;1020;1943;2189;4622;3382;1481;5984;4991,daytime:night,6854;25,6992;24,7127;23,7157;22,643;21,2886;20,2892;19,5744;18,693;17,4493;16,7250;15,6204;14,3555;13,7067;12,6820;11,3064;10,6785;9,7209;8,7199;7,5145;6,1440;5,778;4,800;3,3116;2,2493;1
288,3605;3807;2047;101;1518;504;2801;6909;1591;118;2524;7022;3943;7029;1215;2870;4257;1144;519;279;2406;6821;3346;1960;1356;83;2023;3131;1092;2521,daytime:afternoon,6854;25,6992;24,7127;23,7157;22,643;21,2886;20,2892;19,5744;18,693;17,4493;16,7250;15,6204;14,3555;13,7067;12,3064;11,6785;10,6820;9,7209;8,5145;7,7199;6,778;5,3116;4,800;3,2493;2,6843;1
280,4449;562;719;2588;1805;4229;3714;2757;6063;3758;7131;1514;505;2499;6818;4453;5068;809;519;40;3045;2406;1413;2400;6575;1005;5197;1900;2580;1677;2028;1385;4865;1528;5168;585;646;501;4092;6164;2072;4432;183;4386;797;850;2750;3028;2782;516;4207;759;4050;2263;2844;4799;5360;5106;1525;6213;3584;2913,daytime:evening,6854;25,6992;24,7127;23,7157;22,643;21,2886;20,2892;19,5744;18,693;17,4493;16,7250;15,6204;14,3555;13,7067;12,3064;11,6785;10,6820;9,7209;8,5145;7,7199;6,3116;5,778;4,800;3,2493;2,6843;1
263,5736;5315;3521;4731;1334;4876;1044;5108;5490;852;1418;2119;1723;4527;3499;981;1198;4706;4285;2355;2888;4425;3619;3338;229;1206;5766;1061;6359;5802;4599;36;351;5718;1732;1226;3725;974,daytime:afternoon,6854;25,6992;24,7127;23,7157;22,643;21,2886;20,2892;19,5744;18,693;17,4493;16,7250;15,6204;14,3555;13,7067;12,3064;11,6785;10,6820;9,7209;8,5145;7,7199;6,778;5,3116;4,800;3,2493;2,6843;1
