lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01160,0.01160,0.01036,0.01036,0.01036,0.01036
0.10000,0.01160,0.01072,0.01036,0.00971,0.01036,0.00971
0.20000,0.01160,0.00965,0.01036,0.00905,0.01036,0.00905
0.30000,0.01160,0.00913,0.01036,0.00863,0.01036,0.00863
0.40000,0.01160,0.00878,0.01036,0.00835,0.01036,0.00835
0.50000,0.01160,0.00846,0.01036,0.00814,0.01036,0.00814
0.60000,0.01160,0.00847,0.01036,0.00825,0.01036,0.00825
0.70000,0.01160,0.00830,0.01036,0.00817,0.01036,0.00817
0.80000,0.01160,0.00841,0.01036,0.00828,0.01036,0.00828
0.90000,0.01160,0.00835,0.01036,0.00822,0.01036,0.00822
1.00000,0.01160,0.00821,0.01036,0.00817,0.01036,0.00817
