lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02684,0.02682,0.02420,0.02420
0.10000,0.02684,0.02700,0.02420,0.02420
0.20000,0.02684,0.02616,0.02420,0.02420
0.30000,0.02684,0.02521,0.02420,0.02420
0.40000,0.02684,0.02507,0.02420,0.02420
0.50000,0.02684,0.02498,0.02420,0.02420
0.60000,0.02684,0.02477,0.02420,0.02420
0.70000,0.02684,0.02472,0.02420,0.02420
0.80000,0.02684,0.02465,0.02420,0.02420
0.90000,0.02684,0.02424,0.02420,0.02420
1.00000,0.02684,0.02424,0.02420,0.02420
