lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02684,0.02682,0.02420,0.02420
0.10000,0.02684,0.02552,0.02420,0.02420
0.20000,0.02684,0.02381,0.02420,0.02420
0.30000,0.02684,0.02314,0.02420,0.02420
0.40000,0.02684,0.02249,0.02420,0.02420
0.50000,0.02684,0.02223,0.02420,0.02420
0.60000,0.02684,0.02179,0.02420,0.02420
0.70000,0.02684,0.02138,0.02420,0.02420
0.80000,0.02684,0.02154,0.02420,0.02420
0.90000,0.02684,0.02147,0.02420,0.02420
1.00000,0.02684,0.02126,0.02420,0.02420
