lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01160,0.01160,0.01036,0.01036,0.01036,0.01036
0.10000,0.01160,0.01211,0.01036,0.01077,0.01036,0.01077
0.20000,0.01160,0.01229,0.01036,0.01092,0.01036,0.01092
0.30000,0.01160,0.01245,0.01036,0.01094,0.01036,0.01094
0.40000,0.01160,0.01226,0.01036,0.01075,0.01036,0.01075
0.50000,0.01160,0.01223,0.01036,0.01075,0.01036,0.01075
0.60000,0.01160,0.01191,0.01036,0.01052,0.01036,0.01052
0.70000,0.01160,0.01182,0.01036,0.01054,0.01036,0.01054
0.80000,0.01160,0.01176,0.01036,0.01047,0.01036,0.01047
0.90000,0.01160,0.01139,0.01036,0.01016,0.01036,0.01016
1.00000,0.01160,0.01131,0.01036,0.01011,0.01036,0.01011
