lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.01160,0.01160,0.01036,0.01036,0.01036,0.01036
0.10000,0.01160,0.01116,0.01036,0.01010,0.01036,0.01010
0.20000,0.01160,0.01069,0.01036,0.00967,0.01036,0.00967
0.30000,0.01160,0.01005,0.01036,0.00932,0.01036,0.00932
0.40000,0.01160,0.01010,0.01036,0.00945,0.01036,0.00945
0.50000,0.01160,0.01004,0.01036,0.00941,0.01036,0.00941
0.60000,0.01160,0.01002,0.01036,0.00941,0.01036,0.00941
0.70000,0.01160,0.00989,0.01036,0.00936,0.01036,0.00936
0.80000,0.01160,0.00986,0.01036,0.00941,0.01036,0.00941
0.90000,0.01160,0.00971,0.01036,0.00929,0.01036,0.00929
1.00000,0.01160,0.00968,0.01036,0.00924,0.01036,0.00924
