lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02684,0.02682,0.02420,0.02420
0.10000,0.02684,0.02742,0.02420,0.02420
0.20000,0.02684,0.02742,0.02420,0.02420
0.30000,0.02684,0.02698,0.02420,0.02420
0.40000,0.02684,0.02698,0.02420,0.02420
0.50000,0.02684,0.02691,0.02420,0.02420
0.60000,0.02684,0.02709,0.02420,0.02420
0.70000,0.02684,0.02683,0.02420,0.02420
0.80000,0.02684,0.02674,0.02420,0.02420
0.90000,0.02684,0.02646,0.02420,0.02420
1.00000,0.02684,0.02621,0.02420,0.02420
