lambda,Prec_10_initial,Prec_10_rerank,Prec_25_initial,Prec_25_rerank
0.00000,0.02684,0.02682,0.02420,0.02420
0.10000,0.02684,0.02576,0.02420,0.02420
0.20000,0.02684,0.02530,0.02420,0.02420
0.30000,0.02684,0.02452,0.02420,0.02420
0.40000,0.02684,0.02417,0.02420,0.02420
0.50000,0.02684,0.02396,0.02420,0.02420
0.60000,0.02684,0.02382,0.02420,0.02420
0.70000,0.02684,0.02352,0.02420,0.02420
0.80000,0.02684,0.02326,0.02420,0.02420
0.90000,0.02684,0.02315,0.02420,0.02420
1.00000,0.02684,0.02336,0.02420,0.02420
