lambda,MAP_10_initial,MAP_10_rerank,MAP_25_initial,MAP_25_rerank,MAP_all_initial,MAP_all_rerank
0.00000,0.00121,0.00121,0.00192,0.00192,0.00192,0.00192
0.10000,0.00121,0.00216,0.00192,0.00258,0.00192,0.00258
0.20000,0.00121,0.00271,0.00192,0.00315,0.00192,0.00315
0.30000,0.00121,0.00357,0.00192,0.00384,0.00192,0.00384
0.40000,0.00121,0.00374,0.00192,0.00402,0.00192,0.00402
0.50000,0.00121,0.00362,0.00192,0.00394,0.00192,0.00394
0.60000,0.00121,0.00286,0.00192,0.00321,0.00192,0.00321
0.70000,0.00121,0.00278,0.00192,0.00318,0.00192,0.00318
0.80000,0.00121,0.00262,0.00192,0.00311,0.00192,0.00311
0.90000,0.00121,0.00269,0.00192,0.00317,0.00192,0.00317
1.00000,0.00121,0.00283,0.00192,0.00334,0.00192,0.00334
